Time_min,Avg_Jam_Length_m,Throughput_veh_per_min,North_Queue,South_Queue,Total_Queue,North_Jam_Length_m,South_Jam_Length_m
1.0,1.16,4.00,48.60,0.00,48.60,1.89,0.00
2.0,3.88,14.00,474.50,0.00,474.50,6.30,0.00
3.0,6.05,27.00,985.65,129.10,1114.75,7.61,3.54
4.0,7.66,53.00,842.59,11.55,854.14,12.17,0.44
5.0,10.49,63.00,2052.04,0.00,2052.04,17.04,0.00
6.0,7.14,42.00,1052.35,0.00,1052.35,11.60,0.00
7.0,7.17,59.00,838.45,179.10,1017.55,7.19,7.14
8.0,9.17,73.00,1846.47,76.69,1923.16,12.81,3.34
9.0,5.23,94.00,695.28,10.85,706.13,8.22,0.44
10.0,9.56,118.00,1720.78,10.65,1731.43,14.54,1.60
11.0,4.94,36.00,645.45,6.00,651.45,7.03,1.60
12.0,5.45,60.00,474.45,0.00,474.45,8.86,0.00
13.0,8.32,75.00,1409.45,58.50,1467.95,12.61,1.44
14.0,6.52,88.00,1354.85,43.75,1398.60,9.71,1.42
15.0,13.16,114.00,2633.75,185.35,2819.10,18.18,5.12
16.0,7.55,39.00,1091.79,19.58,1111.37,10.76,2.40
17.0,13.94,69.00,570.81,431.24,1002.05,9.93,20.36
18.0,10.80,98.00,1759.12,75.46,1834.58,16.05,2.40
19.0,12.19,120.00,1132.34,133.65,1265.99,17.95,2.98
20.0,12.74,147.00,2150.11,65.85,2215.96,18.39,3.70
21.0,10.26,36.00,801.67,317.14,1118.81,9.53,11.43
22.0,8.73,68.00,370.12,69.83,439.95,10.79,5.44
23.0,7.78,92.00,1134.17,113.80,1247.97,10.43,3.54
24.0,8.72,112.00,1420.73,2.60,1423.33,13.90,0.44
25.0,5.30,123.00,1348.44,66.45,1414.89,7.61,1.60
26.0,7.13,27.00,2250.44,6.66,2257.10,11.31,0.44
27.0,3.66,47.00,101.50,114.78,216.28,2.56,5.42
28.0,5.93,69.00,716.31,60.90,777.21,8.64,1.60
29.0,10.55,95.00,1863.01,43.60,1906.61,16.51,1.00
30.0,8.59,111.00,1507.57,0.00,1507.57,13.95,0.00
31.0,17.61,55.00,2908.58,232.61,3141.19,22.19,10.27
32.0,7.35,80.00,777.38,29.04,806.42,10.45,2.40
33.0,8.41,94.00,736.67,140.70,877.37,9.95,5.94
34.0,9.98,107.00,1867.45,45.30,1912.75,15.21,1.60
35.0,5.90,127.00,1171.96,19.60,1191.56,9.31,0.44
36.0,7.58,35.00,2324.52,1.10,2325.62,12.04,0.44
37.0,4.25,50.00,873.98,146.35,1020.33,5.75,1.86
38.0,4.33,73.00,305.30,0.00,305.30,7.04,0.00
39.0,9.32,94.00,1108.10,221.50,1329.60,10.80,6.96
40.0,8.76,111.00,1788.83,29.10,1817.93,13.61,1.00
41.0,6.65,35.00,1237.58,53.45,1291.03,7.06,6.00
42.0,2.28,44.00,13.86,64.30,78.16,1.50,3.52
43.0,4.11,69.00,213.71,110.42,324.13,4.58,3.36
44.0,6.99,94.00,989.85,15.10,1004.95,10.74,1.00
45.0,9.24,123.00,1394.04,64.25,1458.29,13.74,2.04
46.0,9.99,52.00,2311.54,58.55,2370.09,15.34,1.44
47.0,14.59,72.00,4118.23,35.10,4153.33,22.72,1.60
48.0,5.13,84.00,234.20,0.00,234.20,8.34,0.00
49.0,5.99,103.00,320.30,93.30,413.60,7.66,3.32
50.0,14.77,129.00,1439.09,0.00,1439.09,24.00,0.00
51.0,7.36,38.00,1415.96,71.00,1486.96,11.08,1.42
52.0,9.64,55.00,2747.54,17.15,2764.69,14.08,2.55
53.0,6.79,79.00,655.22,67.80,723.02,8.91,3.38
54.0,9.25,102.00,1167.53,10.50,1178.03,14.41,1.00
55.0,11.25,119.00,2476.88,0.00,2476.88,18.28,0.00
56.0,10.50,49.00,1485.42,44.80,1530.22,15.13,3.10
57.0,9.89,67.00,1929.05,134.41,2063.46,11.25,7.71
58.0,1.92,82.00,280.20,0.00,280.20,3.13,0.00
59.0,5.83,104.00,160.71,214.05,374.76,5.03,7.10
60.0,5.97,119.00,612.26,45.30,657.56,8.70,1.60
61.0,5.83,24.00,1026.85,0.00,1026.85,9.48,0.00
62.0,7.87,34.00,1978.71,0.00,1978.71,12.79,0.00
63.0,0.00,36.00,0.00,0.00,0.00,0.00,0.00
64.0,0.00,41.00,0.00,0.00,0.00,0.00,0.00
65.0,0.00,41.00,0.00,0.00,0.00,0.00,0.00
66.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
86.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
87.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
89.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
93.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
94.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
95.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
96.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
97.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
98.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
101.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
102.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
103.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
104.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
105.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
106.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
108.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
109.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
110.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
111.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
112.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
115.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
116.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
117.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
118.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
119.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
121.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
122.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
123.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
124.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
125.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
126.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
127.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
128.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
129.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
130.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
132.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
133.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
134.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
135.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
137.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
138.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
139.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
140.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
141.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
142.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
143.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
144.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
145.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
146.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
147.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
148.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
149.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
