Time_min,Avg_Jam_Length_m,Throughput_veh_per_min,North_Queue,South_Queue,Total_Queue,North_Jam_Length_m,South_Jam_Length_m
1.0,0.38,1.00,10.50,0.00,10.50,0.62,0.00
2.0,1.17,4.00,92.85,0.00,92.85,1.90,0.00
3.0,0.38,5.00,130.50,0.00,130.50,0.62,0.00
4.0,2.48,11.00,175.85,12.35,188.20,3.76,0.44
5.0,3.29,18.00,563.05,0.00,563.05,5.35,0.00
6.0,0.38,15.00,38.70,0.00,38.70,0.62,0.00
7.0,2.73,22.00,142.44,238.00,380.44,1.24,5.12
8.0,1.85,26.00,382.24,24.60,406.84,2.74,0.44
9.0,2.28,34.00,282.80,0.63,283.43,3.44,0.44
10.0,3.31,42.00,635.65,0.15,635.80,5.38,0.00
11.0,2.88,17.00,456.58,14.60,471.18,4.06,1.00
12.0,4.27,29.00,363.35,0.00,363.35,6.94,0.00
13.0,5.22,32.00,1029.68,0.00,1029.68,8.49,0.00
14.0,1.13,35.00,283.70,0.00,283.70,1.84,0.00
15.0,3.15,41.00,739.88,14.07,753.95,4.85,0.44
16.0,0.93,13.00,26.55,0.00,26.55,1.51,0.00
17.0,1.34,21.00,156.65,1.90,158.55,1.90,0.44
18.0,3.13,28.00,454.05,0.00,454.05,5.09,0.00
19.0,1.55,31.00,232.65,0.00,232.65,2.53,0.00
20.0,3.07,44.00,443.84,17.38,461.22,3.49,2.40
21.0,2.04,17.00,266.70,71.70,338.40,2.76,0.88
22.0,2.28,33.00,52.00,66.69,118.69,1.62,3.34
23.0,2.15,37.00,255.70,75.20,330.90,2.25,2.00
24.0,2.19,42.00,476.05,0.00,476.05,3.56,0.00
25.0,1.81,44.00,602.35,0.00,602.35,2.94,0.00
26.0,2.93,10.00,849.31,0.00,849.31,4.76,0.00
27.0,0.55,14.00,25.20,29.30,54.50,0.28,1.00
28.0,1.34,20.00,144.55,19.70,164.25,1.90,0.44
29.0,4.28,28.00,497.01,0.00,497.01,6.96,0.00
30.0,3.47,40.00,595.16,0.00,595.16,5.64,0.00
31.0,6.92,17.00,1443.66,151.92,1595.58,8.54,4.34
32.0,1.64,29.00,341.05,29.04,370.09,1.16,2.40
33.0,2.02,35.00,513.18,103.75,616.93,2.39,1.42
34.0,2.28,36.00,883.53,0.00,883.53,3.70,0.00
35.0,1.37,40.00,424.23,0.00,424.23,2.23,0.00
36.0,2.85,12.00,781.21,0.00,781.21,4.63,0.00
37.0,2.67,19.00,473.48,0.00,473.48,4.34,0.00
38.0,1.09,28.00,100.32,0.00,100.32,1.77,0.00
39.0,2.24,37.00,345.97,0.00,345.97,3.64,0.00
40.0,4.12,47.00,790.37,0.00,790.37,6.69,0.00
41.0,3.19,15.00,626.25,0.66,626.91,5.19,0.00
42.0,0.00,18.00,0.00,0.00,0.00,0.00,0.00
43.0,2.00,28.00,41.50,97.45,138.95,1.62,2.60
44.0,3.21,38.00,582.75,0.00,582.75,5.21,0.00
45.0,5.05,45.00,1237.75,90.19,1327.94,5.71,4.00
46.0,3.40,16.00,1625.20,0.00,1625.20,5.53,0.00
47.0,3.76,17.00,2410.50,0.00,2410.50,6.11,0.00
48.0,0.55,22.00,58.15,0.00,58.15,0.90,0.00
49.0,1.75,24.00,190.70,0.00,190.70,2.85,0.00
50.0,2.49,28.00,458.95,0.00,458.95,4.05,0.00
51.0,0.38,9.00,81.30,0.00,81.30,0.62,0.00
52.0,0.55,11.00,158.05,0.00,158.05,0.90,0.00
53.0,2.09,21.00,88.90,16.20,105.10,2.40,1.60
54.0,4.05,29.00,436.13,0.00,436.13,6.59,0.00
55.0,4.63,35.00,1043.83,0.00,1043.83,7.53,0.00
56.0,6.16,17.00,1128.25,44.22,1172.47,8.51,2.40
57.0,4.50,22.00,292.94,104.95,397.89,3.50,6.10
58.0,0.92,29.00,195.14,0.00,195.14,1.50,0.00
59.0,0.55,31.00,30.60,0.00,30.60,0.90,0.00
60.0,1.52,34.00,130.20,0.00,130.20,2.46,0.00
61.0,1.52,5.00,340.20,0.00,340.20,2.46,0.00
62.0,2.46,10.00,360.60,0.00,360.60,4.00,0.00
63.0,0.00,10.00,0.00,0.00,0.00,0.00,0.00
64.0,0.00,13.00,0.00,0.00,0.00,0.00,0.00
65.0,0.00,13.00,0.00,0.00,0.00,0.00,0.00
66.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
