Time_min,Avg_Jam_Length_m,Throughput_veh_per_min,North_Queue,South_Queue,Total_Queue,North_Jam_Length_m,South_Jam_Length_m
1.0,0.38,1.00,7.80,0.00,7.80,0.62,0.00
2.0,1.55,10.00,104.55,0.00,104.55,2.52,0.00
3.0,3.23,20.00,290.75,56.86,347.61,3.12,3.40
4.0,5.22,29.00,636.56,32.70,669.26,7.48,1.60
5.0,6.29,40.00,1432.76,0.00,1432.76,10.23,0.00
6.0,2.70,26.00,122.28,0.00,122.28,4.38,0.00
7.0,4.82,39.00,487.70,141.95,629.65,5.26,4.10
8.0,5.68,46.00,961.60,100.08,1061.68,7.73,2.40
9.0,1.82,57.00,158.75,8.65,167.40,2.69,0.44
10.0,3.34,76.00,538.40,0.15,538.55,5.43,0.00
11.0,3.62,27.00,615.48,11.20,626.68,5.26,1.00
12.0,3.05,44.00,331.89,0.00,331.89,4.95,0.00
13.0,7.09,51.00,1323.95,76.20,1400.15,10.26,2.00
14.0,3.52,59.00,1100.10,0.00,1100.10,5.71,0.00
15.0,6.88,77.00,1880.20,38.90,1919.10,10.55,1.00
16.0,5.27,29.00,531.44,13.20,544.64,7.56,1.60
17.0,5.50,47.00,429.95,133.95,563.90,7.10,2.94
18.0,8.22,63.00,1304.17,51.30,1355.47,12.36,1.60
19.0,5.19,82.00,791.34,19.20,810.54,8.16,0.44
20.0,9.66,101.00,1624.16,65.85,1690.01,13.39,3.70
21.0,7.37,29.00,763.53,173.30,936.83,8.80,5.08
22.0,4.35,50.00,164.65,120.63,285.28,2.94,6.60
23.0,4.49,63.00,498.30,150.61,648.91,4.15,5.04
24.0,4.48,72.00,969.93,0.00,969.93,7.28,0.00
25.0,3.18,79.00,658.03,101.42,759.45,3.68,2.40
26.0,3.22,16.00,1080.60,0.00,1080.60,5.23,0.00
27.0,1.32,23.00,93.80,27.25,121.05,1.59,0.88
28.0,4.48,36.00,573.40,20.00,593.40,7.01,0.44
29.0,6.45,51.00,1416.80,0.00,1416.80,10.49,0.00
30.0,6.00,64.00,1043.00,0.00,1043.00,9.76,0.00
31.0,9.01,29.00,2083.55,167.51,2251.06,11.93,4.34
32.0,3.26,53.00,481.94,19.65,501.59,4.30,1.60
33.0,3.65,62.00,387.04,44.25,431.29,4.65,2.04
34.0,5.39,70.00,889.91,0.00,889.91,8.76,0.00
35.0,4.69,84.00,997.14,0.00,997.14,7.63,0.00
36.0,6.75,23.00,1992.74,0.00,1992.74,10.96,0.00
37.0,3.51,33.00,530.55,52.35,582.90,4.70,1.60
38.0,3.22,49.00,254.75,0.90,255.65,4.96,0.44
39.0,5.61,66.00,765.60,66.55,832.15,7.49,2.60
40.0,6.35,78.00,1057.00,0.00,1057.00,10.31,0.00
41.0,4.57,33.00,1119.90,22.92,1142.82,6.53,1.44
42.0,2.52,45.00,163.18,54.30,217.48,3.09,1.60
43.0,4.27,61.00,219.32,161.90,381.22,4.11,4.52
44.0,8.86,79.00,980.50,0.00,980.50,14.40,0.00
45.0,8.45,104.00,1322.10,158.10,1480.20,9.86,6.20
46.0,8.95,40.00,2055.74,0.00,2055.74,14.55,0.00
47.0,11.69,49.00,3606.14,35.55,3641.69,18.00,1.60
48.0,2.88,64.00,168.92,0.00,168.92,4.68,0.00
49.0,6.20,70.00,700.82,121.50,822.32,8.08,3.20
50.0,10.20,86.00,1581.95,0.00,1581.95,16.58,0.00
51.0,2.25,25.00,246.44,0.00,246.44,3.65,0.00
52.0,4.13,35.00,701.46,0.00,701.46,6.71,0.00
53.0,6.37,57.00,573.25,38.65,611.90,7.54,4.50
54.0,8.86,70.00,1163.63,0.00,1163.63,14.40,0.00
55.0,11.10,86.00,2376.03,0.00,2376.03,18.03,0.00
56.0,6.00,32.00,815.23,51.60,866.83,7.44,3.70
57.0,7.59,45.00,1626.36,113.89,1740.25,8.83,5.61
58.0,2.12,57.00,183.14,0.00,183.14,3.44,0.00
59.0,3.75,69.00,297.87,2.20,300.07,4.59,2.40
60.0,6.76,79.00,847.37,0.00,847.37,10.99,0.00
61.0,5.06,18.00,1010.27,0.00,1010.27,8.23,0.00
62.0,5.25,27.00,1426.83,0.00,1426.83,8.53,0.00
63.0,0.00,27.00,0.00,0.00,0.00,0.00,0.00
64.0,0.00,30.00,0.00,0.00,0.00,0.00,0.00
65.0,0.00,30.00,0.00,0.00,0.00,0.00,0.00
66.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
86.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
87.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
89.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
93.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
94.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
95.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
96.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
97.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
98.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
101.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
102.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
103.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
104.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
105.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
106.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
108.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
109.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
110.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
111.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
112.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
115.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
116.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
117.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
118.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
119.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
121.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
122.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
123.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
124.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
125.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
126.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
127.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
128.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
129.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
130.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
132.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
133.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
134.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
135.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
137.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
138.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
139.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
140.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
141.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
142.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
143.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
144.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
145.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
146.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
147.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
148.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
149.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
150.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
151.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
152.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
153.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
154.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
155.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
156.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
157.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
158.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
159.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
160.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
161.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
162.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
163.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
164.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
165.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
166.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
167.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
168.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
169.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
170.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
171.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
172.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
173.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
175.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
176.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
177.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
178.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
179.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
180.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
181.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
182.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
183.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
184.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
185.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
186.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
187.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
188.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
189.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
190.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
191.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
192.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
193.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
194.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
195.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
196.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
197.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
198.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
199.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
200.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
201.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
202.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
203.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
204.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
205.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
206.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
207.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
208.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
209.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
210.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
211.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
212.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
213.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
214.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
215.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
216.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
218.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
219.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
220.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
221.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
222.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
223.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
224.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
225.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
