Time_min,Avg_Jam_Length_m,Throughput_veh_per_min,North_Queue,South_Queue,Total_Queue,North_Jam_Length_m,South_Jam_Length_m
1.0,0.55,1.00,21.25,0.00,21.25,0.89,0.00
2.0,1.16,4.00,214.45,0.00,214.45,1.89,0.00
3.0,0.55,5.00,321.25,0.00,321.25,0.89,0.00
4.0,2.38,11.00,199.65,0.00,199.65,3.88,0.00
5.0,5.37,18.00,540.45,64.50,604.95,5.09,5.82
6.0,1.13,18.00,0.00,38.35,38.35,0.00,2.94
7.0,2.15,26.00,173.80,1.40,175.20,3.21,0.44
8.0,2.95,31.00,443.80,92.50,536.30,3.21,2.54
9.0,0.55,36.00,16.60,54.70,71.30,0.90,0.00
10.0,2.34,45.00,231.05,0.15,231.20,3.80,0.00
11.0,3.48,15.00,469.50,121.15,590.65,4.04,2.60
12.0,1.52,26.00,55.85,58.30,114.15,2.46,0.00
13.0,3.52,30.00,410.25,0.00,410.25,5.71,0.00
14.0,1.81,32.00,420.80,66.00,486.80,2.94,0.00
15.0,3.84,40.00,850.04,246.00,1096.04,6.24,0.00
16.0,3.23,12.00,339.09,72.30,411.39,3.12,3.40
17.0,3.62,25.00,352.89,86.40,439.29,2.66,5.16
18.0,5.59,32.00,880.27,1.05,881.32,8.81,0.44
19.0,3.81,37.00,600.25,96.30,696.55,4.91,2.04
20.0,4.22,48.00,1020.47,57.30,1077.77,6.86,0.00
21.0,2.76,21.00,133.63,67.38,201.01,1.83,4.26
22.0,6.05,35.00,9.50,507.01,516.51,0.62,14.73
23.0,0.93,41.00,197.00,0.00,197.00,1.51,0.00
24.0,1.74,44.00,417.35,0.00,417.35,2.83,0.00
25.0,1.19,46.00,289.85,89.10,378.95,1.94,0.00
26.0,1.58,5.00,454.95,0.00,454.95,2.56,0.00
27.0,0.77,14.00,0.00,64.90,64.90,0.00,2.00
28.0,0.77,19.00,78.20,48.70,126.90,1.25,0.00
29.0,4.28,28.00,364.56,65.70,430.26,5.96,1.60
30.0,5.44,37.00,539.46,0.00,539.46,5.61,5.16
31.0,6.52,20.00,1257.86,43.10,1300.96,10.59,0.00
32.0,3.31,37.00,679.15,55.10,734.25,4.10,2.04
33.0,4.12,43.00,311.75,345.05,656.80,2.94,6.02
34.0,1.81,45.00,611.75,68.30,680.05,2.94,0.00
35.0,2.49,49.00,537.80,2.00,539.80,3.42,1.00
36.0,3.96,18.00,862.05,76.10,938.15,6.44,0.00
37.0,2.58,20.00,436.50,0.00,436.50,4.19,0.00
38.0,2.47,30.00,158.37,33.85,192.22,2.39,2.60
39.0,2.78,38.00,532.77,88.10,620.87,4.51,0.00
40.0,5.31,49.00,1099.22,10.40,1109.62,8.35,0.44
41.0,5.50,16.00,1000.60,133.30,1133.90,4.91,6.44
42.0,0.00,18.00,0.00,98.50,98.50,0.00,0.00
43.0,2.76,28.00,114.87,152.45,267.32,2.39,3.36
44.0,3.20,40.00,519.07,15.20,534.27,4.58,1.00
45.0,4.70,49.00,803.75,33.66,837.41,5.51,3.40
46.0,4.81,16.00,734.55,245.66,980.21,5.06,4.40
47.0,3.48,21.00,1237.35,38.40,1275.75,5.65,0.00
48.0,1.77,25.00,56.80,35.40,92.20,1.62,2.00
49.0,1.77,27.00,206.80,202.30,409.10,1.62,2.00
50.0,1.75,33.00,393.50,131.90,525.40,2.84,0.00
51.0,0.38,6.00,81.10,0.00,81.10,0.62,0.00
52.0,1.88,10.00,350.28,43.80,394.08,3.06,0.00
53.0,1.48,23.00,100.85,0.60,101.45,2.40,0.00
54.0,5.05,30.00,404.25,70.00,474.25,6.96,2.00
55.0,5.67,36.00,1008.90,77.70,1086.60,9.21,0.00
56.0,7.29,19.00,1178.62,30.00,1208.62,10.85,1.60
57.0,7.16,25.00,797.59,122.07,919.66,7.33,6.90
58.0,2.08,31.00,563.35,70.90,634.25,3.39,0.00
59.0,0.94,34.00,65.10,17.00,82.10,1.25,0.44
60.0,2.27,37.00,203.14,0.50,203.64,3.69,0.00
61.0,3.19,6.00,515.14,88.66,603.80,3.69,2.40
62.0,3.93,11.00,358.20,243.32,601.52,3.39,4.80
63.0,0.00,11.00,0.00,0.00,0.00,0.00,0.00
64.0,0.38,13.00,0.00,22.60,22.60,0.00,1.00
65.0,0.38,13.00,0.00,82.60,82.60,0.00,1.00
66.0,0.00,1.00,0.00,84.10,84.10,0.00,0.00
67.0,0.00,1.00,0.00,0.00,0.00,0.00,0.00
68.0,0.00,1.00,0.00,0.00,0.00,0.00,0.00
69.0,0.00,1.00,0.00,0.00,0.00,0.00,0.00
