Time_min,Avg_Jam_Length_m,Throughput_veh_per_min,North_Queue,South_Queue,Total_Queue,North_Jam_Length_m,South_Jam_Length_m
1.0,0.62,1.00,14.85,0.00,14.85,1.00,0.00
2.0,1.00,6.00,134.05,0.00,134.05,1.62,0.00
3.0,3.09,17.00,227.80,70.40,298.20,1.90,5.00
4.0,3.65,29.00,360.21,14.20,374.41,5.93,0.00
5.0,6.76,39.00,866.91,97.50,964.41,7.45,5.64
6.0,2.94,28.00,90.75,72.65,163.40,1.00,6.04
7.0,5.41,43.00,499.97,115.50,615.47,7.58,1.94
8.0,8.02,52.00,1275.67,187.05,1462.72,9.51,5.64
9.0,1.71,60.00,181.91,238.50,420.41,2.77,0.00
10.0,4.88,79.00,674.87,0.15,675.02,7.94,0.00
11.0,5.70,24.00,691.16,117.30,808.46,6.79,3.96
12.0,2.65,47.00,123.77,79.50,203.27,4.31,0.00
13.0,5.82,51.00,811.47,115.55,927.02,6.56,4.64
14.0,3.85,60.00,1113.94,166.10,1280.04,5.63,1.00
15.0,6.70,77.00,1956.39,594.40,2550.79,9.89,1.60
16.0,5.43,27.00,417.85,248.03,665.88,4.68,6.62
17.0,2.99,51.00,176.38,236.01,412.39,1.80,4.90
18.0,5.87,63.00,682.93,52.05,734.98,8.26,2.04
19.0,5.98,83.00,509.10,248.89,757.99,6.35,5.38
20.0,6.42,101.00,1130.02,180.50,1310.52,10.43,0.00
21.0,5.33,33.00,475.62,12.40,488.02,8.39,0.44
22.0,5.23,54.00,326.62,208.05,534.67,4.79,5.93
23.0,5.26,71.00,1184.47,39.60,1224.07,8.55,0.00
24.0,7.65,78.00,2208.07,0.00,2208.07,12.44,0.00
25.0,7.63,87.00,1781.83,359.28,2141.11,10.28,3.40
26.0,8.75,26.00,3015.46,0.00,3015.46,14.21,0.00
27.0,2.01,37.00,27.90,105.66,133.56,0.28,4.78
28.0,2.81,49.00,323.75,35.40,359.15,4.56,0.00
29.0,8.32,69.00,1049.50,65.70,1115.20,12.51,1.60
30.0,8.44,81.00,1058.75,59.50,1118.25,10.11,5.75
31.0,12.32,36.00,2336.19,286.75,2622.94,19.01,1.60
32.0,7.63,57.00,1045.39,186.76,1232.15,8.46,6.30
33.0,6.40,73.00,279.24,479.81,759.05,2.34,12.89
34.0,2.36,81.00,611.66,114.10,725.76,3.84,0.00
35.0,5.20,93.00,462.76,11.50,474.26,7.21,2.00
36.0,5.35,30.00,1077.57,206.90,1284.47,8.41,0.44
37.0,4.05,42.00,600.51,33.25,633.76,4.99,2.55
38.0,5.73,61.00,442.17,197.83,640.00,7.17,3.42
39.0,6.19,77.00,1303.17,72.40,1375.57,10.05,0.00
40.0,9.20,89.00,2130.64,5.85,2136.49,13.95,1.60
41.0,11.12,42.00,876.15,181.11,1057.26,11.20,10.99
42.0,7.23,52.00,806.81,190.16,996.97,10.25,2.40
43.0,5.89,70.00,69.84,390.09,459.93,3.71,9.38
44.0,6.68,89.00,664.61,45.70,710.31,10.86,0.00
45.0,9.24,112.00,1311.59,15.25,1326.84,14.13,1.42
46.0,10.44,35.00,2066.19,327.00,2393.19,13.35,5.79
47.0,10.64,48.00,3687.59,64.80,3752.39,17.29,0.00
48.0,2.82,56.00,95.75,52.70,148.45,0.28,6.90
49.0,5.76,63.00,338.15,558.00,896.15,1.27,12.93
50.0,3.46,80.00,878.20,190.50,1068.70,5.63,0.00
51.0,2.25,13.00,1086.30,12.30,1098.60,3.04,1.00
52.0,4.29,28.00,1029.10,48.90,1078.00,6.98,0.00
53.0,3.78,48.00,889.65,4.53,894.18,5.87,0.44
54.0,9.22,63.00,1679.29,201.68,1880.97,11.71,5.22
55.0,8.49,79.00,3097.13,54.90,3152.03,13.79,0.00
56.0,8.72,34.00,2939.33,62.12,3001.45,11.35,4.50
57.0,8.44,44.00,993.19,218.60,1211.79,9.48,6.78
58.0,4.36,58.00,1045.68,135.10,1180.78,7.09,0.00
59.0,2.34,70.00,788.95,97.05,886.00,1.55,3.60
60.0,3.72,77.00,1392.65,24.10,1416.75,6.04,0.00
61.0,4.85,18.00,1989.50,60.30,2049.80,6.89,1.60
62.0,6.68,28.00,1315.80,176.80,1492.60,9.23,2.60
63.0,0.00,28.00,353.10,82.60,435.70,0.00,0.00
64.0,1.00,31.00,735.20,83.60,818.80,0.00,2.60
65.0,1.00,31.00,1155.20,233.60,1388.80,0.00,2.60
66.0,0.00,2.00,1575.20,155.50,1730.70,0.00,0.00
67.0,0.00,2.00,328.50,0.00,328.50,0.00,0.00
68.0,0.00,2.00,495.20,0.00,495.20,0.00,0.00
69.0,0.00,2.00,1090.50,0.00,1090.50,0.00,0.00
70.0,0.00,2.00,930.90,0.00,930.90,0.00,0.00
71.0,0.00,0.00,1230.90,4.00,1234.90,0.00,0.00
72.0,0.00,0.00,37.60,0.00,37.60,0.00,0.00
73.0,0.00,0.00,397.60,0.00,397.60,0.00,0.00
74.0,0.00,0.00,757.60,0.00,757.60,0.00,0.00
75.0,0.00,0.00,1117.60,0.00,1117.60,0.00,0.00
76.0,0.00,0.00,1477.60,0.00,1477.60,0.00,0.00
77.0,0.00,0.00,29.10,0.00,29.10,0.00,0.00
78.0,0.00,0.00,329.10,0.00,329.10,0.00,0.00
79.0,0.00,0.00,629.10,0.00,629.10,0.00,0.00
80.0,0.00,0.00,929.10,0.00,929.10,0.00,0.00
81.0,0.00,0.00,1229.10,0.00,1229.10,0.00,0.00
82.0,0.00,0.00,22.70,34.60,57.30,0.00,0.00
83.0,0.00,0.00,262.70,0.00,262.70,0.00,0.00
84.0,0.00,0.00,502.70,0.00,502.70,0.00,0.00
85.0,0.00,0.00,742.70,0.00,742.70,0.00,0.00
86.0,0.00,0.00,737.40,0.00,737.40,0.00,0.00
87.0,0.00,0.00,203.90,0.00,203.90,0.00,0.00
88.0,0.00,0.00,383.90,0.00,383.90,0.00,0.00
89.0,0.00,0.00,250.60,0.00,250.60,0.00,0.00
90.0,0.00,0.00,370.60,0.00,370.60,0.00,0.00
91.0,0.00,0.00,490.60,0.00,490.60,0.00,0.00
92.0,0.00,0.00,9.70,23.10,32.80,0.00,0.00
93.0,0.00,0.00,129.70,0.00,129.70,0.00,0.00
94.0,0.00,0.00,249.70,0.00,249.70,0.00,0.00
95.0,0.00,0.00,369.70,0.00,369.70,0.00,0.00
96.0,0.00,0.00,245.10,0.00,245.10,0.00,0.00
97.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
98.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
101.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
102.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
103.0,0.00,0.00,0.00,43.10,43.10,0.00,0.00
104.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
105.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
106.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
