Time_min,Avg_Jam_Length_m,Throughput_veh_per_min,North_Queue,South_Queue,Total_Queue,North_Jam_Length_m,South_Jam_Length_m
1.0,0.55,4.00,16.80,0.00,16.80,0.90,0.00
2.0,3.94,16.00,280.16,0.00,280.16,6.39,0.00
3.0,4.88,27.00,631.76,77.25,709.01,6.39,2.48
4.0,9.86,55.00,746.80,0.00,746.80,16.02,0.00
5.0,14.73,67.00,2156.92,99.15,2256.07,20.28,5.86
6.0,0.72,46.00,5.55,27.05,32.60,0.28,1.44
7.0,4.76,71.00,368.08,0.90,368.98,7.74,0.00
8.0,8.82,81.00,1310.53,251.41,1561.94,10.05,6.86
9.0,5.55,102.00,988.33,10.63,998.96,8.48,0.88
10.0,11.35,133.00,2216.34,10.65,2226.99,17.44,1.60
11.0,8.98,37.00,1095.55,378.00,1473.55,9.50,8.15
12.0,3.76,67.00,1111.00,0.00,1111.00,6.11,0.00
13.0,12.69,78.00,2375.60,212.65,2588.25,15.38,8.38
14.0,8.44,95.00,1339.54,6.65,1346.19,10.28,5.51
15.0,11.75,112.00,2674.17,8.10,2682.27,18.10,1.60
16.0,15.42,42.00,832.60,306.02,1138.62,13.83,17.96
17.0,9.71,80.00,36.35,100.30,136.65,2.05,21.98
18.0,7.33,106.00,719.48,26.88,746.36,8.94,4.76
19.0,8.65,123.00,1173.40,416.34,1589.74,9.43,7.40
20.0,12.66,154.00,2593.20,0.00,2593.20,20.58,0.00
21.0,7.63,39.00,1116.21,15.65,1131.86,11.50,1.44
22.0,9.01,71.00,430.82,248.30,679.12,5.78,14.18
23.0,6.78,102.00,1146.65,0.00,1146.65,11.01,0.00
24.0,7.79,116.00,1467.50,12.10,1479.60,11.75,1.44
25.0,7.29,128.00,1126.43,123.65,1250.08,10.21,2.60
26.0,11.37,36.00,2390.88,0.00,2390.88,18.48,0.00
27.0,1.32,44.00,55.50,77.85,133.35,0.62,2.44
28.0,8.67,74.00,644.32,0.00,644.32,14.09,0.00
29.0,15.15,99.00,1936.72,65.70,2002.42,23.61,1.60
30.0,14.43,116.00,1766.21,17.91,1784.12,19.95,5.60
31.0,17.32,45.00,3715.02,6.20,3721.22,27.88,0.44
32.0,11.02,76.00,1811.86,62.95,1874.81,16.77,1.82
33.0,10.11,94.00,631.60,480.06,1111.66,3.70,20.36
34.0,6.02,109.00,1305.07,66.66,1371.73,8.28,2.40
35.0,9.90,133.00,1180.51,235.85,1416.36,12.79,5.29
36.0,11.25,41.00,2877.56,2.65,2880.21,18.01,0.44
37.0,5.52,58.00,1006.17,34.55,1040.72,8.10,1.38
38.0,6.85,85.00,309.59,170.74,480.33,6.36,7.62
39.0,6.59,114.00,1220.36,0.00,1220.36,10.70,0.00
40.0,10.77,130.00,2248.39,70.71,2319.10,14.72,4.44
41.0,16.31,46.00,1459.82,266.04,1725.86,14.72,18.86
42.0,8.63,58.00,1068.86,19.15,1088.01,13.75,0.44
43.0,6.04,80.00,250.75,190.50,441.25,4.35,8.74
44.0,8.10,102.00,785.33,0.00,785.33,13.16,0.00
45.0,8.75,137.00,1219.49,16.00,1235.49,13.33,1.42
46.0,13.70,47.00,1982.79,346.95,2329.74,18.16,6.56
47.0,13.56,62.00,3635.03,0.00,3635.03,22.03,0.00
48.0,5.36,87.00,93.43,28.76,122.19,3.96,7.60
49.0,10.21,101.00,202.20,662.51,864.71,2.84,22.00
50.0,8.38,130.00,825.69,0.00,825.69,13.62,0.00
51.0,5.55,26.00,1001.69,107.75,1109.44,7.50,2.44
52.0,7.88,47.00,2167.89,0.00,2167.89,12.80,0.00
53.0,5.04,68.00,717.69,55.56,773.25,6.03,3.46
54.0,8.50,91.00,323.67,545.19,868.86,5.95,12.58
55.0,7.30,110.00,979.35,0.00,979.35,11.86,0.00
56.0,13.57,43.00,1895.85,93.52,1989.37,18.84,5.14
57.0,16.09,58.00,2595.48,300.77,2896.25,20.88,8.42
58.0,6.45,72.00,1266.50,0.00,1266.50,10.48,0.00
59.0,9.55,95.00,158.25,251.30,409.55,5.27,16.39
60.0,12.18,107.00,837.95,301.00,1138.95,9.83,15.96
61.0,8.54,30.00,1912.40,21.40,1933.80,13.60,0.44
62.0,8.29,36.00,3019.52,51.40,3070.92,13.20,0.44
63.0,0.00,38.00,0.00,0.00,0.00,0.00,0.00
64.0,1.47,47.00,0.00,47.65,47.65,0.00,3.82
65.0,4.97,49.00,0.00,538.75,538.75,0.00,12.93
66.0,0.00,5.00,0.00,0.00,0.00,0.00,0.00
67.0,0.00,5.00,0.00,0.00,0.00,0.00,0.00
68.0,0.00,5.00,0.00,0.00,0.00,0.00,0.00
69.0,0.00,5.00,0.00,0.00,0.00,0.00,0.00
70.0,0.00,5.00,0.00,0.00,0.00,0.00,0.00
71.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
