Time_min,Avg_Jam_Length_m,Throughput_veh_per_min,North_Queue,South_Queue,Total_Queue,North_Jam_Length_m,South_Jam_Length_m
1.0,0.55,1.00,21.25,0.00,21.25,0.89,0.00
2.0,1.16,4.00,214.45,0.00,214.45,1.89,0.00
3.0,0.55,5.00,321.25,0.00,321.25,0.89,0.00
4.0,2.38,11.00,199.65,0.00,199.65,3.88,0.00
5.0,4.12,17.00,509.90,27.45,537.35,4.15,4.06
6.0,1.35,18.00,0.00,58.20,58.20,0.00,3.51
7.0,1.92,25.00,140.85,1.75,142.60,2.84,0.44
8.0,2.45,30.00,370.25,52.30,422.55,3.11,1.38
9.0,0.72,34.00,23.90,0.51,24.41,0.90,0.44
10.0,2.28,43.00,229.59,0.15,229.74,3.71,0.00
11.0,4.03,16.00,326.85,143.15,470.00,2.73,6.12
12.0,1.75,27.00,53.30,0.00,53.30,2.84,0.00
13.0,3.52,30.00,492.65,0.00,492.65,5.71,0.00
14.0,1.58,32.00,393.25,0.00,393.25,2.56,0.00
15.0,3.45,40.00,805.62,0.00,805.62,5.61,0.00
16.0,1.87,11.00,191.95,94.00,285.95,1.52,2.42
17.0,1.11,21.00,83.35,62.60,145.95,0.55,2.00
18.0,2.77,30.00,400.11,0.00,400.11,4.50,0.00
19.0,1.98,34.00,141.77,26.70,168.47,2.95,0.44
20.0,3.21,45.00,289.40,0.00,289.40,5.21,0.00
21.0,3.25,20.00,393.65,45.65,439.30,3.39,3.04
22.0,4.06,33.00,48.90,259.30,308.20,1.25,8.56
23.0,1.38,37.00,244.95,0.00,244.95,2.25,0.00
24.0,1.38,39.00,454.95,0.00,454.95,2.25,0.00
25.0,1.13,42.00,429.65,0.00,429.65,1.84,0.00
26.0,2.63,8.00,632.05,0.00,632.05,4.28,0.00
27.0,0.93,15.00,0.00,85.70,85.70,0.00,2.42
28.0,0.55,20.00,20.14,0.00,20.14,0.90,0.00
29.0,3.98,27.00,213.64,65.70,279.34,5.46,1.60
30.0,5.56,38.00,493.45,0.00,493.45,6.19,4.56
31.0,6.49,23.00,1253.97,0.00,1253.97,10.54,0.00
32.0,2.52,36.00,526.47,19.65,546.12,3.10,1.60
33.0,3.28,41.00,486.04,171.75,657.79,3.33,3.20
34.0,2.05,42.00,888.04,0.00,888.04,3.33,0.00
35.0,4.51,47.00,658.89,6.38,665.27,5.83,2.40
36.0,3.05,16.00,1057.74,0.00,1057.74,4.96,0.00
37.0,2.36,20.00,442.05,0.00,442.05,3.84,0.00
38.0,1.55,29.00,101.35,9.45,110.80,1.62,1.44
39.0,2.31,36.00,318.21,0.00,318.21,3.75,0.00
40.0,4.88,48.00,646.42,6.00,652.42,6.93,1.60
41.0,5.65,16.00,579.01,149.06,728.07,4.05,8.20
42.0,0.00,18.00,0.00,0.00,0.00,0.00,0.00
43.0,2.02,28.00,80.55,95.37,175.92,2.39,1.44
44.0,2.82,40.00,484.85,0.00,484.85,4.58,0.00
45.0,2.45,47.00,694.95,4.20,699.15,3.70,0.44
46.0,3.57,14.00,588.70,57.90,646.60,4.28,2.44
47.0,3.44,20.00,1075.60,0.00,1075.60,5.59,0.00
48.0,0.94,25.00,45.60,37.55,83.15,0.62,1.44
49.0,1.55,27.00,193.95,127.55,321.50,1.62,1.44
50.0,1.96,33.00,390.65,0.00,390.65,3.19,0.00
51.0,0.38,6.00,82.90,0.00,82.90,0.62,0.00
52.0,0.77,8.00,177.30,0.00,177.30,1.25,0.00
53.0,2.90,21.00,160.28,13.70,173.98,4.09,1.00
54.0,5.65,28.00,504.38,172.20,676.58,6.93,3.60
55.0,5.42,34.00,1116.38,0.00,1116.38,8.80,0.00
56.0,6.16,17.00,1127.75,44.22,1171.97,8.51,2.40
57.0,6.04,22.00,426.94,104.43,531.37,6.00,6.10
58.0,2.46,29.00,509.14,0.00,509.14,4.00,0.00
59.0,0.55,31.00,30.60,0.00,30.60,0.90,0.00
60.0,1.52,34.00,130.20,0.00,130.20,2.46,0.00
61.0,2.44,5.00,340.20,88.66,428.86,2.46,2.40
62.0,3.77,10.00,361.70,239.06,600.76,4.00,3.40
63.0,0.00,10.00,0.00,0.00,0.00,0.00,0.00
64.0,0.00,12.00,0.00,0.00,0.00,0.00,0.00
65.0,0.00,12.00,0.00,0.00,0.00,0.00,0.00
66.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
