Time_min,Avg_Jam_Length_m,Throughput_veh_per_min,North_Queue,South_Queue,Total_Queue,North_Jam_Length_m,South_Jam_Length_m
1.0,0.17,1.00,5.05,0.00,5.05,0.28,0.00
2.0,0.34,8.00,51.00,0.00,51.00,0.55,0.00
3.0,3.79,20.00,204.60,98.30,302.90,3.27,4.62
4.0,4.77,30.00,622.35,0.00,622.35,7.75,0.00
5.0,9.01,42.00,1362.15,89.10,1451.25,10.38,6.82
6.0,1.74,27.00,0.00,112.90,112.90,0.00,4.52
7.0,4.30,45.00,251.50,18.05,269.55,5.40,2.54
8.0,5.47,51.00,647.20,141.35,788.55,6.71,3.48
9.0,0.89,66.00,83.40,9.15,92.55,1.18,0.44
10.0,4.85,87.00,566.20,0.15,566.35,7.88,0.00
11.0,5.24,24.00,621.56,173.15,794.71,5.69,4.52
12.0,0.92,41.00,50.24,0.00,50.24,1.49,0.00
13.0,6.56,51.00,727.94,70.88,798.82,7.71,4.72
14.0,5.23,63.00,1092.75,142.78,1235.53,6.38,3.40
15.0,8.13,78.00,2296.00,8.10,2304.10,12.21,1.60
16.0,5.98,25.00,417.53,213.15,630.68,4.88,7.74
17.0,4.91,47.00,153.50,269.20,422.70,0.62,11.77
18.0,6.65,65.00,639.19,51.30,690.49,9.80,1.60
19.0,8.58,78.00,519.96,395.60,915.56,8.77,8.27
20.0,9.57,99.00,1490.05,0.00,1490.05,15.55,0.00
21.0,6.99,31.00,894.25,59.78,954.03,7.36,6.40
22.0,8.15,50.00,249.88,563.32,813.20,1.52,18.76
23.0,4.24,68.00,732.60,0.00,732.60,6.89,0.00
24.0,5.72,76.00,1181.56,1.85,1183.41,9.01,0.44
25.0,6.63,83.00,1144.60,38.85,1183.45,9.88,1.44
26.0,9.25,25.00,2172.40,0.00,2172.40,15.03,0.00
27.0,2.97,35.00,29.00,284.82,313.82,0.28,7.28
28.0,2.34,49.00,304.05,0.00,304.05,3.80,0.00
29.0,7.64,65.00,1024.45,65.70,1090.15,11.41,1.60
30.0,9.44,78.00,1452.11,0.00,1452.11,12.76,4.14
31.0,12.07,35.00,2839.71,5.65,2845.36,19.34,0.44
32.0,5.77,53.00,902.55,90.13,992.68,7.24,3.42
33.0,7.62,63.00,213.40,512.75,726.15,1.84,16.86
34.0,3.25,71.00,568.15,0.00,568.15,5.28,0.00
35.0,6.18,85.00,863.88,23.63,887.51,7.65,3.82
36.0,6.03,26.00,1862.68,1.25,1863.93,9.53,0.44
37.0,3.66,36.00,564.84,32.90,597.74,4.36,2.55
38.0,7.34,56.00,374.78,213.29,588.07,8.12,6.08
39.0,6.85,67.00,1181.51,0.00,1181.51,11.14,0.00
40.0,8.95,80.00,1740.06,11.22,1751.28,13.04,2.40
41.0,12.21,35.00,1116.97,205.82,1322.79,11.16,13.87
42.0,5.82,46.00,718.12,80.22,798.34,7.68,2.84
43.0,6.73,63.00,76.17,336.27,412.44,4.44,10.40
44.0,7.26,84.00,643.04,0.00,643.04,11.80,0.00
45.0,9.84,105.00,1518.42,23.55,1541.97,14.36,2.60
46.0,12.04,35.00,2335.90,224.45,2560.35,15.49,6.53
47.0,10.63,46.00,4006.13,0.00,4006.13,17.28,0.00
48.0,2.55,57.00,8.31,87.75,96.06,0.28,6.20
49.0,3.98,64.00,50.61,354.35,404.96,1.27,8.30
50.0,3.52,80.00,355.01,0.00,355.01,5.71,0.00
51.0,2.72,13.00,517.45,7.45,524.90,4.14,0.44
52.0,5.57,28.00,1373.88,0.00,1373.88,9.05,0.00
53.0,3.46,47.00,569.06,0.00,569.06,5.63,0.00
54.0,9.27,59.00,879.45,208.19,1087.64,12.65,3.86
55.0,10.45,76.00,2125.80,0.00,2125.80,16.98,0.00
56.0,11.76,36.00,2269.62,79.97,2349.59,16.42,4.32
57.0,12.05,47.00,1552.25,206.24,1758.49,11.00,13.73
58.0,2.68,57.00,723.94,0.00,723.94,4.36,0.00
59.0,2.73,67.00,87.24,158.92,246.16,2.27,3.46
60.0,4.22,78.00,424.78,0.00,424.78,6.00,1.36
61.0,3.69,16.00,783.67,60.30,843.97,5.00,1.60
62.0,5.89,25.00,1183.09,169.66,1352.75,7.66,3.04
63.0,0.00,25.00,0.00,0.00,0.00,0.00,0.00
64.0,0.93,30.00,0.00,30.40,30.40,0.00,2.42
65.0,0.93,30.00,0.00,240.40,240.40,0.00,2.42
66.0,0.00,2.00,0.00,0.00,0.00,0.00,0.00
67.0,0.00,2.00,0.00,0.00,0.00,0.00,0.00
68.0,0.00,2.00,0.00,0.00,0.00,0.00,0.00
69.0,0.00,2.00,0.00,0.00,0.00,0.00,0.00
