Step,Reward,Loss,Epsilon
300,-0.0,0,1.0
1402,-0.48100000000000004,0,1.0
1703,-0.0,0,1.0
2855,-3.7935,0,1.0
3306,-1.424,0,1.0
4758,-5.1465,0,1.0
5109,-4.782,0,1.0
5910,-0.15699999999999997,0,1.0
6211,-0.0,0,1.0
7463,-4.1014,0,1.0
7615,-4.1598,0,1.0
8467,-9.0592,0,1.0
9118,-1.6081999999999999,0,1.0
10220,-5.627600000000001,0,1.0
10471,-0.15800000000000003,0,1.0
11673,-1.36,0,1.0
12024,-2.104,0,1.0
13176,-2.423,0,1.0
13577,-5.396,0,1.0
14278,-7.695799999999999,0,1.0
14629,-3.9224999999999994,0,1.0
15831,-2.5425,0,1.0
16182,-5.175,0,1.0
17284,-15.095500000000001,0,1.0
17585,-1.6340000000000001,0,1.0
19187,-4.915,0,1.0
19538,-8.074,0,1.0
20289,-13.9481,0,1.0
20790,-2.9236999999999997,0,1.0
22042,-7.681500000000001,0,1.0
22393,-11.788699999999999,0,1.0
23094,-11.478000000000002,0,1.0
23745,-6.6231,0,1.0
25147,-15.7875,3.4548983573913574,0.7076077347272662
25748,-18.7478,3.9750053882598877,0.6088145090359074
26750,-22.762999999999998,3.9835433959960938,0.4738479773082268
27451,-7.216700000000001,4.987015724182129,0.3976004408064698
28853,-10.0773,3.048452377319336,0.2799384215094006
29404,-4.3915,1.9638651609420776,0.24328132378095624
30356,-10.4175,1.154205560684204,0.192217783647157
30957,-11.304300000000001,0.9206451177597046,0.16538114245489302
32509,-34.406,0.696906328201294,0.11186295456362313
32810,-22.2239,3.2813220024108887,0.10376060541355137
33712,-33.6807,2.6514151096343994,0.08280777787605056
34463,-45.675,3.638247013092041,0.06844601986126451
36065,-34.2495,1.432957649230957,0.04583472801998072
36267,-39.374,2.203444242477417,0.04359387414694703
37068,-39.3305,2.4326858520507812,0.035673744367776934
37469,-32.959,2.1226553916931152,0.03227084302572862
38571,-30.0235,1.5852717161178589,0.02449513017825978
38673,-6.363299999999999,1.5127263069152832,0.023888845163905856
39875,-33.2747,1.9345533847808838,0.017683979399301233
40126,-26.317,1.8043551445007324,0.0165683801277891
41228,-38.9524,1.9319114685058594,0.012576201611761997
41330,-25.307199999999998,2.8969779014587402,0.012264924940880204
42282,-21.9056,1.649775505065918,0.01
42533,-16.158,1.7490907907485962,0.01
43885,-47.461,11.220197677612305,0.01
43987,-42.1133,7.742742538452148,0.01
44939,-15.405399999999998,11.583330154418945,0.01
45240,-13.1805,11.009310722351074,0.01
46442,-34.766,14.525242805480957,0.01
46793,-41.416,9.408620834350586,0.01
47745,-16.456400000000002,13.061822891235352,0.01
47996,-10.5046,16.115962982177734,0.01
49348,-30.501999999999995,14.704273223876953,0.01
49450,-31.9751,17.10486602783203,0.01
50402,-30.637800000000002,9.047917366027832,0.01
50903,-11.845199999999998,17.5502986907959,0.01
52505,-36.4346,17.699447631835938,0.01
52607,-37.350100000000005,12.972529411315918,0.01
53559,-31.5383,20.878074645996094,0.01
54010,-19.4723,29.837299346923828,0.01
55362,-47.3242,19.651857376098633,0.01
55464,-36.1755,46.87861633300781,0.01
56416,-13.488,23.37457847595215,0.01
56917,-18.8694,19.320632934570312,0.01
58169,-33.000499999999995,25.731090545654297,0.01
58670,-34.2275,17.887325286865234,0.01
59622,-17.825499999999998,17.707069396972656,0.01
60123,-19.2369,14.43040657043457,0.01
61725,-37.110499999999995,13.646215438842773,0.01
61827,-35.7695,13.810586929321289,0.01
62779,-13.875500000000002,18.496559143066406,0.01
63030,-16.2331,12.061845779418945,0.01
64132,-36.92,27.971084594726562,0.01
64234,-29.726299999999995,28.126224517822266,0.01
65186,-48.465900000000005,28.17511749267578,0.01
65737,-13.681000000000001,18.9781494140625,0.01
67239,-45.33319999999999,18.07923126220703,0.01
67640,-46.61709999999999,22.916954040527344,0.01
68642,-26.1614,14.069245338439941,0.01
69193,-25.125100000000003,15.851860046386719,0.01
70595,-38.11280000000001,28.00347900390625,0.01
70697,-38.328,10.744277954101562,0.01
71699,-22.3229,29.444286346435547,0.01
72250,-16.4493,14.516092300415039,0.01
73652,-30.157999999999998,24.921165466308594,0.01
73953,-28.49900000000001,20.445158004760742,0.01
74955,-6.7345999999999995,20.366363525390625,0.01
75356,-12.7128,14.341747283935547,0.01
76758,-35.800700000000006,18.523502349853516,0.01
76860,-28.8747,24.852970123291016,0.01
77862,-9.829699999999999,15.364660263061523,0.01
78263,-13.286999999999999,21.378217697143555,0.01
79665,-37.18620000000001,21.41115951538086,0.01
79767,-38.659499999999994,19.21467399597168,0.01
80769,-15.119700000000002,20.10427474975586,0.01
81320,-26.998399999999997,13.633947372436523,0.01
82922,-52.386,18.659027099609375,0.01
83024,-49.77890000000001,19.318662643432617,0.01
84026,-19.435399999999998,25.16057777404785,0.01
84577,-21.22,26.02065086364746,0.01
85679,-40.4657,19.238561630249023,0.01
85781,-39.595299999999995,20.15457534790039,0.01
86783,-18.4646,20.105594635009766,0.01
87134,-13.6344,14.531641006469727,0.01
88236,-32.457,19.458152770996094,0.01
88487,-35.6555,19.252826690673828,0.01
89489,-55.656499999999994,18.829959869384766,0.01
90040,-14.127200000000002,13.721691131591797,0.01
91142,-27.244300000000003,21.923982620239258,0.01
91244,-25.622899999999994,11.817880630493164,0.01
92246,-36.50600000000001,17.239097595214844,0.01
92797,-15.6235,16.048383712768555,0.01
93899,-21.719,33.80083465576172,0.01
94200,-26.9005,33.47420120239258,0.01
95202,-49.7757,15.456037521362305,0.01
95753,-21.9521,28.57949447631836,0.01
96855,-28.765699999999995,22.439807891845703,0.01
96957,-31.988799999999998,10.734447479248047,0.01
97758,-62.1494,25.70846939086914,0.01
98309,-60.00679999999999,26.118820190429688,0.01
99711,-65.70969999999998,21.37059211730957,0.01
100062,-42.479499999999994,24.309593200683594,0.01
101064,-81.50189999999999,26.857242584228516,0.01
101565,-79.97810000000001,23.324806213378906,0.01
102667,-67.50140000000002,26.959335327148438,0.01
103018,-32.185599999999994,24.942974090576172,0.01
103970,-73.87829999999998,48.8896484375,0.01
104521,-80.5025,56.6196403503418,0.01
105923,-40.3351,61.633819580078125,0.01
106075,-42.7286,35.72483825683594,0.01
107077,-79.7167,36.47823715209961,0.01
107628,-86.59969999999998,86.68119049072266,0.01
109030,-57.1626,90.21417236328125,0.01
109132,-48.4966,25.989397048950195,0.01
110084,-90.5531,50.906044006347656,0.01
110585,-56.087,77.68592834472656,0.01
111987,-41.74380000000001,24.500469207763672,0.01
112089,-39.086600000000004,55.01190185546875,0.01
113041,-77.56210000000002,30.32449722290039,0.01
113542,-51.97419999999999,70.6141586303711,0.01
114944,-40.3648,155.884765625,0.01
115146,-43.925,163.33258056640625,0.01
116098,-75.22699999999998,37.523101806640625,0.01
116649,-56.32299999999999,59.80073547363281,0.01
118051,-34.9546,130.43331909179688,0.01
118153,-36.551,155.92198181152344,0.01
119155,-75.22090000000003,87.6634521484375,0.01
119706,-78.459,53.31256103515625,0.01
121108,-37.7873,104.88033294677734,0.01
121210,-40.83370000000001,126.23387908935547,0.01
122212,-78.4117,79.63774871826172,0.01
122763,-71.5644,131.66293334960938,0.01
124165,-47.467,83.92617797851562,0.01
124416,-56.61520000000001,97.15087127685547,0.01
125418,-94.48590000000002,62.4536018371582,0.01
125919,-67.24459999999999,130.22027587890625,0.01
127321,-43.135499999999986,130.42782592773438,0.01
127672,-57.1914,186.63204956054688,0.01
128624,-74.24179999999998,99.36775207519531,0.01
129125,-64.44850000000001,126.42288208007812,0.01
130527,-47.03699999999999,56.639286041259766,0.01
130878,-59.28920000000001,128.1759033203125,0.01
131830,-57.2366,96.22358703613281,0.01
132331,-50.873599999999996,95.13810729980469,0.01
133733,-60.97370000000001,131.20559692382812,0.01
134084,-75.058,44.20515823364258,0.01
135036,-68.89099999999999,102.03417205810547,0.01
135537,-55.970399999999984,156.0008544921875,0.01
136939,-53.98650000000001,77.50096130371094,0.01
137290,-59.4925,51.38633728027344,0.01
138242,-63.4345,119.43280792236328,0.01
138743,-63.16280000000002,106.58209228515625,0.01
140145,-72.917,123.22378540039062,0.01
140496,-70.051,96.40120697021484,0.01
141448,-64.462,75.51223754882812,0.01
141949,-30.391000000000002,89.3139419555664,0.01
143051,-68.63400000000001,50.212806701660156,0.01
143402,-63.627,86.87008666992188,0.01
144354,-51.650400000000005,168.47579956054688,0.01
144855,-64.50699999999999,167.9691925048828,0.01
146257,-66.58909999999999,170.37954711914062,0.01
146608,-72.44250000000001,122.18108367919922,0.01
147560,-56.653000000000006,131.5042724609375,0.01
148061,-27.607400000000002,109.7298812866211,0.01
149163,-68.7307,71.67338562011719,0.01
149514,-67.22400000000002,182.5999298095703,0.01
150466,-58.03049999999999,130.64886474609375,0.01
150917,-37.985,142.47720336914062,0.01
152319,-64.8136,119.92735290527344,0.01
152670,-60.9273,111.65608978271484,0.01
153622,-62.507099999999994,96.22398376464844,0.01
154123,-35.11450000000001,214.6487274169922,0.01
155525,-70.87449999999998,107.03512573242188,0.01
155876,-61.025299999999994,147.75579833984375,0.01
156828,-75.36890000000001,100.6670913696289,0.01
157329,-42.909,99.23666381835938,0.01
158931,-53.32999999999999,189.12335205078125,0.01
159282,-38.379999999999995,153.22647094726562,0.01
160234,-33.1845,95.21778869628906,0.01
160735,-48.2435,167.18910217285156,0.01
162137,-66.2055,158.2803497314453,0.01
162488,-50.69999999999999,119.90283966064453,0.01
163440,-43.441,210.60757446289062,0.01
163941,-56.133900000000004,262.7728576660156,0.01
165543,-59.59,138.0431365966797,0.01
165894,-70.73649999999999,125.33290100097656,0.01
166896,-68.5881,165.75253295898438,0.01
167397,-63.247,153.2644500732422,0.01
168799,-73.16099999999999,159.85958862304688,0.01
169150,-34.4697,89.87742614746094,0.01
170102,-73.77260000000001,127.86407470703125,0.01
170653,-68.729,252.96133422851562,0.01
172055,-30.884099999999997,221.35997009277344,0.01
172356,-38.982699999999994,180.09185791015625,0.01
173308,-65.0152,156.891357421875,0.01
173859,-77.26739999999998,179.25143432617188,0.01
175461,-51.205000000000005,238.27398681640625,0.01
175762,-66.13060000000002,200.09457397460938,0.01
176714,-89.6036,247.67950439453125,0.01
177215,-67.116,196.48336791992188,0.01
178817,-66.79460000000002,276.7228698730469,0.01
179168,-72.60149999999999,184.78402709960938,0.01
180170,-69.12949999999998,166.2399444580078,0.01
180671,-51.852,186.8927001953125,0.01
182073,-61.28530000000001,196.49896240234375,0.01
182424,-52.50419999999999,171.23638916015625,0.01
183426,-43.30579999999999,296.45574951171875,0.01
183927,-57.980000000000004,165.03607177734375,0.01
185329,-78.52810000000001,289.69873046875,0.01
185680,-58.43170000000001,227.04562377929688,0.01
186682,-65.7147,125.90254211425781,0.01
187233,-32.99380000000001,278.26214599609375,0.01
188385,-74.7299,158.81222534179688,0.01
188736,-52.26690000000001,147.04061889648438,0.01
189738,-65.86959999999999,197.6815185546875,0.01
190289,-34.438500000000005,217.06182861328125,0.01
191391,-74.65480000000001,266.9425964355469,0.01
191742,-81.94960000000002,180.96749877929688,0.01
192744,-59.3397,170.37948608398438,0.01
193295,-35.6755,177.71946716308594,0.01
194397,-63.7125,336.244384765625,0.01
194748,-74.341,322.93701171875,0.01
195750,-59.02809999999999,111.96469116210938,0.01
196301,-33.15990000000001,218.9606170654297,0.01
197403,-68.73499999999999,92.30497741699219,0.01
197804,-72.164,347.943359375,0.01
198806,-65.0935,122.56471252441406,0.01
199357,-41.624700000000004,361.359619140625,0.01
200759,-80.2902,255.02374267578125,0.01
201110,-73.46599999999998,147.20669555664062,0.01
202062,-41.999300000000005,171.91018676757812,0.01
202613,-45.2705,120.55671691894531,0.01
204015,-60.53849999999999,221.66580200195312,0.01
204366,-52.0885,302.6856689453125,0.01
205318,-54.432500000000005,226.4578857421875,0.01
205869,-58.220499999999994,447.5926513671875,0.01
207271,-76.9269,327.1543273925781,0.01
207622,-56.92750000000001,246.6914520263672,0.01
208574,-53.389500000000005,212.48904418945312,0.01
209075,-62.835,242.60585021972656,0.01
210477,-46.84299999999999,279.2969055175781,0.01
211028,-38.372899999999994,328.6264343261719,0.01
211980,-56.35970000000001,254.6729278564453,0.01
212531,-64.03619999999998,242.15579223632812,0.01
214133,-26.292,307.9570007324219,0.01
214684,-45.925999999999995,272.99554443359375,0.01
215686,-62.73950000000001,278.2811584472656,0.01
216237,-66.6789,550.3923950195312,0.01
217839,-59.23010000000001,223.9237518310547,0.01
217941,-55.70919999999999,293.3336181640625,0.01
218943,-66.9163,520.7393798828125,0.01
219494,-49.2631,424.8916931152344,0.01
220896,-61.267700000000005,442.8876953125,0.01
221247,-76.97300000000001,368.07989501953125,0.01
222249,-82.29850000000002,245.2777099609375,0.01
222800,-61.79750000000001,355.0568542480469,0.01
224402,-75.22730000000001,214.50856018066406,0.01
224753,-68.5936,400.2748718261719,0.01
225755,-59.26020000000002,240.34109497070312,0.01
226306,-32.313,268.38861083984375,0.01
227408,-82.17840000000002,284.1373291015625,0.01
227809,-83.9998,364.6138000488281,0.01
228811,-76.58420000000001,369.1369934082031,0.01
229362,-39.218599999999995,333.337646484375,0.01
230464,-77.453,321.92620849609375,0.01
230815,-71.526,409.7510986328125,0.01
231817,-59.8088,331.8130798339844,0.01
232368,-35.335,185.891357421875,0.01
233470,-78.72700000000002,128.79104614257812,0.01
233821,-74.299,485.128662109375,0.01
234823,-61.818999999999996,145.07383728027344,0.01
235374,-34.545999999999985,308.987060546875,0.01
236476,-72.77249999999998,573.6135864257812,0.01
236827,-72.00000000000003,431.7342834472656,0.01
237829,-62.734,159.44647216796875,0.01
238380,-39.6488,273.4020690917969,0.01
239782,-76.00750000000002,248.2604217529297,0.01
240133,-60.458,193.6477813720703,0.01
241135,-28.850999999999996,242.98971557617188,0.01
241636,-46.1482,205.28359985351562,0.01
243038,-56.33249999999999,135.1060028076172,0.01
243389,-47.19,402.372802734375,0.01
244341,-42.943000000000005,202.17337036132812,0.01
244892,-57.00299999999999,312.14990234375,0.01
246294,-68.8738,305.662353515625,0.01
246645,-59.04,333.34423828125,0.01
247597,-41.512000000000015,111.11717224121094,0.01
248098,-59.738499999999995,340.8289794921875,0.01
249500,-46.09999999999999,284.8119201660156,0.01
249602,-50.1815,185.59011840820312,0.01
250554,-42.81650000000001,243.12533569335938,0.01
251055,-59.81799999999999,242.78897094726562,0.01
252457,-40.1406,189.08770751953125,0.01
252559,-43.176,426.41571044921875,0.01
253711,-50.15389999999999,348.8125915527344,0.01
254262,-65.695,116.07160949707031,0.01
255864,-61.004500000000014,576.8955078125,0.01
