Step,Reward,Loss,Epsilon,
0,-41.9945,0.294292301,0,
100,0,0.293132484,0.001,
200,0,0.292005628,0.001,
300,0,0.290928543,0.001,
400,0,0.28992492,0.001,
500,-2.9168,0.312835515,0.001,
600,0,0.245117337,0.001,
700,0,0.310420394,0.001,
800,0,0.286325574,0.001,
900,0,0.274419248,0.001,
1000,-2.1336,0.298758417,0.001,
1100,0,0.276697338,0.001,
1200,0,0.317937016,0.001,
1300,0,0.316455752,0.001,
1400,-1.68675,0.325619102,0.001,
1500,0,0.274147898,0.001,
1600,0,0.318786144,0.001,
1700,-0.9535,0.309697688,0.001,
1800,0,0.270307779,0.001,
1900,0,0.309865385,0.001,
2000,0,0.27960667,0.001,
2100,0,0.279440939,0.001,
2200,0,0.263536334,0.001,
2300,0,0.307824671,0.001,
2400,-3.112,0.247257456,0.001,
2500,0,0.33707875,0.001,
2600,0,0.300372422,0.001,
2700,0,0.318528354,0.001,
2800,0,0.303997457,0.001,
2900,0,0.32825771,0.001,
3000,0,0.268043786,0.001,
3100,0,0.32024166,0.001,
3200,0,0.333249569,0.001,
3300,0,0.324379385,0.001,
3400,-6.25785,0.404658079,0.001,
3500,0,0.355952144,0.001,
3600,0,0.367946565,0.001,
3700,0,0.273623824,0.001,
3800,0,0.418463111,0.001,
3900,0,0.33859092,0.001,
4000,0,0.423222184,0.001,
4100,0,0.391384631,0.001,
4200,0,0.298463941,0.001,
4300,0,0.200433865,0.001,
4400,-13.0348,0.422204494,0.001,
4500,0,0.874209762,0.001,
4600,0,0.399326533,0.001,
4700,-4.63025,0.370350778,0.001,
4800,0,0.898246884,0.001,
4900,0,0.910102844,0.001,
5000,0,0.865685284,0.001,
5100,0,0.932162106,0.001,
5200,-2.06975,0.979142547,0.001,
5300,0,0.440689266,0.001,
5400,0,0.440053046,0.001,
5500,-4.11725,1.000507832,0.001,
5600,0,0.804426372,0.001,
5700,0,0.462594748,0.001,
5800,0,0.461834103,0.001,
5900,0,0.901375294,0.001,
6000,0,0.953368485,0.001,
6100,0,0.875075042,0.001,
6200,-9.9347,0.771061599,0.001,
6300,0,1.251450181,0.001,
6400,0,1.117214441,0.001,
6500,0,1.173990846,0.001,
6600,0,1.059749365,0.001,
6700,0,1.240448356,0.001,
6800,0,1.116281629,0.001,
6900,0,1.203689575,0.001,
7000,0,0.752674758,0.001,
7100,0,0.836418569,0.001,
7200,0,0.968076468,0.001,
7300,-15.60965,1.905385494,0.001,
7400,0,0.609404743,0.001,
7500,0,1.591012478,0.001,
7600,0,1.162491679,0.001,
7700,0,0.855777383,0.001,
7800,-3.52415,1.174568415,0.001,
7900,0,1.315419555,0.001,
8000,0,1.152557969,0.001,
8100,0,0.711006939,0.001,
8200,0,0.949879885,0.001,
8300,-0.6128,1.832511663,0.001,
8400,0,1.946651816,0.001,
8500,0,1.938655615,0.001,
8600,0,1.592903376,0.001,
8700,0,1.824915171,0.001,
8800,-1.1722,1.099610925,0.001,
8900,0,0.906953692,0.001,
9000,0,1.490894794,0.001,
9100,-1.155,1.353082538,0.001,
9200,0,1.767017484,0.001,
9300,0,1.841150522,0.001,
9400,0,0.399087608,0.001,
9500,0,1.123530149,0.001,
9600,0,1.804115176,0.001,
9700,0,1.376147985,0.001,
9800,0,1.839168072,0.001,
9900,-4.1655,1.612203836,0.001,
10000,0,1.138019085,0.001,
10100,0,1.514753461,0.001,
10200,0,1.329502702,0.001,
10300,0,1.343667865,0.001,
10400,-1.8075,1.821446657,0.001,
10500,0,1.312522411,0.001,
10600,0,1.455724597,0.001,
10700,0,1.085251331,0.001,
10800,0,0.394833952,0.001,
10900,-2.58055,1.102967262,0.001,
11000,0,0.808595777,0.001,
11100,0,1.693006754,0.001,
11200,0,1.557153344,0.001,
11300,0,1.062363505,0.001,
11400,-5.08555,0.448958397,0.001,
11500,0,1.155302167,0.001,
11600,0,1.826059937,0.001,
11700,-2.8742,0.350901723,0.001,
11800,0,1.019938469,0.001,
11900,0,1.812062502,0.001,
12000,0,0.764476895,0.001,
12100,0,1.317970634,0.001,
12200,0,0.885880947,0.001,
12300,0,1.354721308,0.001,
12400,0,0.518399179,0.001,
12500,-2.12925,0.523651719,0.001,
12600,0,1.824331999,0.001,
12700,0,1.411028147,0.001,
12800,0,0.852494955,0.001,
12900,0,1.753860712,0.001,
13000,0,0.795598388,0.001,
13100,0,1.861377478,0.001,
13200,0,1.208680153,0.001,
13300,-3.0991,1.194371223,0.001,
13400,0,0.934739828,0.001,
13500,0,1.298366785,0.001,
13600,0,1.064937353,0.001,
13700,0,0.897764444,0.001,
13800,-2.24425,0.739377558,0.001,
13900,0,1.729578614,0.001,
14000,0,1.285289764,0.001,
14100,0,0.901453733,0.001,
14200,-4.19875,1.102877259,0.001,
14300,0,1.323411584,0.001,
14400,0,1.564758182,0.001,
14500,-3.5476,1.015382886,0.001,
14600,0,1.033181071,0.001,
14700,0,1.793531775,0.001,
14800,0,1.366813064,0.001,
14900,0,0.85210377,0.001,
15000,0,1.081542969,0.001,
15100,0,0.582877159,0.001,
15200,0,0.903451681,0.001,
15300,-2.9558,0.934610188,0.001,
15400,0,1.651225567,0.001,
15500,0,1.025650144,0.001,
15600,0,1.28499198,0.001,
15700,0,1.089002728,0.001,
15800,0,1.606709003,0.001,
15900,0,1.098290563,0.001,
16000,0,1.614348769,0.001,
16100,-4.45525,1.447696209,0.001,
16200,0,1.852359533,0.001,
16300,-2.18675,1.407208562,0.001,
16400,0,1.79521358,0.001,
16500,0,1.517539263,0.001,
16600,0,1.288059235,0.001,
16700,-3.4047,1.229915023,0.001,
16800,0,1.777896404,0.001,
16900,0,1.117133856,0.001,
17000,0,1.216575623,0.001,
17100,0,2.015901804,0.001,
17200,0,1.391878009,0.001,
17300,0,1.348198771,0.001,
17400,0,0.990357578,0.001,
17500,-3.6353,1.309204221,0.001,
17600,0,1.569321156,0.001,
17700,0,1.198829055,0.001,
17800,0,1.325338006,0.001,
17900,0,0.926219761,0.001,
18000,0,1.142278075,0.001,
18100,0,1.063716412,0.001,
18200,0,1.553521991,0.001,
18300,-3.803,0.914367676,0.001,
18400,0,0.950198233,0.001,
18500,0,1.863927245,0.001,
18600,0,1.442416191,0.001,
18700,0,0.700970054,0.001,
18800,0,1.171731234,0.001,
18900,0,0.946011364,0.001,
19000,0,1.213708162,0.001,
19100,-1.60775,1.002163529,0.001,
19200,0,0.806190848,0.001,
19300,-0.40375,0.962378919,0.001,
19400,0,0.443205535,0.001,
19500,-0.66775,1.021805286,0.001,
19600,0,1.496456027,0.001,
19700,-1.05325,1.809294939,0.001,
19800,0,1.314687848,0.001,
19900,0,1.079687834,0.001,
20000,-0.3135,0.983977079,0.001,
20100,0,0.907794356,0.001,
20200,0,0.51997447,0.001,
20300,0,0.993219018,0.001,
20400,0,1.084409714,0.001,
20500,0,0.895099401,0.001,
20600,0,1.364281178,0.001,
20700,0,1.361338973,0.001,
20800,-1.2455,0.466274947,0.001,
20900,0,1.327776313,0.001,
21000,-0.7171,1.074065208,0.001,
21100,0,0.941445529,0.001,
21200,-1.07395,0.388958007,0.001,
21300,0,0.778523088,0.001,
21400,0,0.683849037,0.001,
21500,0,1.470114112,0.001,
21600,0,1.263387203,0.001,
21700,-2.26275,0.589035273,0.001,
21800,0,0.936757326,0.001,
21900,0,0.557365894,0.001,
22000,-1.0625,1.356422424,0.001,
22100,0,0.713470578,0.001,
22200,0,1.366459489,0.001,
22300,-0.2115,0.413557053,0.001,
22400,0,1.424499035,0.001,
22500,-0.5228,0.507122695,0.001,
22600,0,0.868719101,0.001,
