Time_min,Avg_Jam_Length_m,Throughput_veh_per_min,Total_Queue,Phase,Action,PhaseDuration
1.0,0.00,1.00,0.00,2,None,5.1
2.0,9.04,13.00,231.85,5,None,0.2
3.0,18.21,24.00,900.26,6,None,0.3
4.0,27.90,34.00,1428.65,0,None,5.5
5.0,3.45,41.00,234.69,4,None,30.7
6.0,2.53,17.00,169.35,6,None,35.8
7.0,5.85,25.00,535.59,8,None,5.9
8.0,4.25,33.00,254.35,2,None,16.1
9.0,5.85,44.00,415.10,4,None,6.2
10.0,5.10,54.00,172.75,6,None,11.3
11.0,17.80,24.00,813.98,0,None,16.5
12.0,18.23,36.00,427.31,4,None,41.7
13.0,3.84,51.00,92.85,6,None,46.8
14.0,13.82,65.00,609.84,8,None,16.9
15.0,30.99,77.00,666.97,2,None,27.1
16.0,6.92,38.00,402.93,4,None,17.2
17.0,8.75,54.00,126.77,6,None,22.3
18.0,33.16,70.00,967.66,0,None,27.5
19.0,15.14,80.00,804.75,2,None,2.6
20.0,13.11,93.00,82.89,6,None,57.8
21.0,12.15,30.00,572.53,7,None,2.8
22.0,28.98,39.00,1393.79,0,None,3.0
23.0,7.05,50.00,294.60,4,None,28.2
24.0,7.09,62.00,316.49,6,None,33.3
25.0,15.20,71.00,991.30,8,None,3.4
26.0,6.58,25.00,247.30,2,None,13.6
27.0,8.45,34.00,473.50,4,None,3.7
28.0,13.88,55.00,484.29,6,None,8.8
29.0,20.00,68.00,1268.85,0,None,14.0
30.0,17.13,86.00,189.60,4,None,39.2
31.0,5.42,37.00,139.80,6,None,44.3
32.0,20.71,50.00,806.48,8,None,14.4
33.0,19.44,69.00,679.70,2,None,24.6
34.0,8.77,86.00,234.63,4,None,14.7
35.0,9.08,102.00,328.87,6,None,19.8
36.0,19.43,24.00,1060.74,0,None,25.0
37.0,9.40,33.00,540.09,2,None,0.1
38.0,0.37,37.00,38.20,6,None,55.3
39.0,7.30,49.00,272.05,7,None,0.3
40.0,12.73,61.00,813.10,0,None,0.5
41.0,4.45,23.00,291.15,4,None,25.7
42.0,6.42,32.00,282.65,6,None,30.8
43.0,12.96,46.00,741.16,8,None,0.9
44.0,7.20,55.00,206.81,2,None,11.1
45.0,11.58,65.00,477.95,4,None,1.2
46.0,4.88,15.00,466.50,6,None,6.3
47.0,10.98,26.00,676.99,0,None,11.5
48.0,6.18,34.00,247.85,4,None,36.7
49.0,5.67,52.00,184.30,6,None,41.8
50.0,20.15,69.00,1076.94,8,None,11.9
51.0,7.47,35.00,352.32,2,None,22.1
52.0,6.58,51.00,353.11,4,None,12.2
53.0,3.30,59.00,54.15,6,None,17.3
54.0,8.93,69.00,616.25,0,None,22.5
55.0,9.29,74.00,365.26,3,None,2.6
56.0,3.42,24.00,115.95,6,None,52.8
57.0,11.96,39.00,578.36,8,None,22.9
58.0,12.18,47.00,1422.92,1,None,3.0
59.0,6.28,58.00,240.75,4,None,23.2
60.0,2.08,70.00,116.70,6,None,28.3
61.0,3.28,12.00,293.95,9,None,3.4
62.0,7.49,15.00,492.99,2,None,8.6
63.0,4.12,15.00,437.94,5,None,3.7
64.0,0.00,15.00,0.00,6,None,3.8
