Episode,Total_Reward,Actor_Loss,Critic_Loss,Entropy
1,-3.2512498,"tf.Tensor(0.24606024, shape=(), dtype=float32)","tf.Tensor(1.8546996, shape=(), dtype=float32)","tf.Tensor(1.751693, shape=(), dtype=float32)"
2,-0.2867,"tf.Tensor(0.048758216, shape=(), dtype=float32)","tf.Tensor(0.86246336, shape=(), dtype=float32)","tf.Tensor(1.7071021, shape=(), dtype=float32)"
3,2.69565,"tf.Tensor(0.30286822, shape=(), dtype=float32)","tf.Tensor(2.2703063, shape=(), dtype=float32)","tf.Tensor(1.6830534, shape=(), dtype=float32)"
4,-0.47465008,"tf.Tensor(0.1226752, shape=(), dtype=float32)","tf.Tensor(2.2050967, shape=(), dtype=float32)","tf.Tensor(1.7054707, shape=(), dtype=float32)"
5,-0.72540003,"tf.Tensor(0.11518259, shape=(), dtype=float32)","tf.Tensor(2.015237, shape=(), dtype=float32)","tf.Tensor(1.6823645, shape=(), dtype=float32)"
6,-1.3112,"tf.Tensor(0.12511978, shape=(), dtype=float32)","tf.Tensor(2.39077, shape=(), dtype=float32)","tf.Tensor(1.6944249, shape=(), dtype=float32)"
7,0.5548501,"tf.Tensor(0.25196803, shape=(), dtype=float32)","tf.Tensor(1.589969, shape=(), dtype=float32)","tf.Tensor(1.6217425, shape=(), dtype=float32)"
8,-2.40435,"tf.Tensor(0.0112749515, shape=(), dtype=float32)","tf.Tensor(1.5023329, shape=(), dtype=float32)","tf.Tensor(1.6462739, shape=(), dtype=float32)"
9,-1.42985,"tf.Tensor(0.03436183, shape=(), dtype=float32)","tf.Tensor(1.4040313, shape=(), dtype=float32)","tf.Tensor(1.6083372, shape=(), dtype=float32)"
10,-3.12805,"tf.Tensor(0.02378645, shape=(), dtype=float32)","tf.Tensor(1.7136109, shape=(), dtype=float32)","tf.Tensor(1.7048575, shape=(), dtype=float32)"
11,2.5568001,"tf.Tensor(0.1507709, shape=(), dtype=float32)","tf.Tensor(1.7443596, shape=(), dtype=float32)","tf.Tensor(1.726635, shape=(), dtype=float32)"
12,0.5713501,"tf.Tensor(0.12457762, shape=(), dtype=float32)","tf.Tensor(1.600531, shape=(), dtype=float32)","tf.Tensor(1.7231432, shape=(), dtype=float32)"
13,-1.3255501,"tf.Tensor(0.29199758, shape=(), dtype=float32)","tf.Tensor(1.3535049, shape=(), dtype=float32)","tf.Tensor(1.7000786, shape=(), dtype=float32)"
14,3.8851995,"tf.Tensor(0.18091431, shape=(), dtype=float32)","tf.Tensor(1.1548665, shape=(), dtype=float32)","tf.Tensor(1.6571497, shape=(), dtype=float32)"
15,-0.75240004,"tf.Tensor(0.38495225, shape=(), dtype=float32)","tf.Tensor(1.1015316, shape=(), dtype=float32)","tf.Tensor(1.7269399, shape=(), dtype=float32)"
16,-1.91655,"tf.Tensor(0.22378787, shape=(), dtype=float32)","tf.Tensor(0.96176803, shape=(), dtype=float32)","tf.Tensor(1.7333161, shape=(), dtype=float32)"
17,-0.10809994,"tf.Tensor(0.1427128, shape=(), dtype=float32)","tf.Tensor(0.86086005, shape=(), dtype=float32)","tf.Tensor(1.6476974, shape=(), dtype=float32)"
18,-0.049949944,"tf.Tensor(0.3352541, shape=(), dtype=float32)","tf.Tensor(1.2252083, shape=(), dtype=float32)","tf.Tensor(1.7210178, shape=(), dtype=float32)"
19,-1.63725,"tf.Tensor(0.20877571, shape=(), dtype=float32)","tf.Tensor(0.7416887, shape=(), dtype=float32)","tf.Tensor(1.7214873, shape=(), dtype=float32)"
20,-2.3068998,"tf.Tensor(0.29648545, shape=(), dtype=float32)","tf.Tensor(1.2429307, shape=(), dtype=float32)","tf.Tensor(1.7785854, shape=(), dtype=float32)"
21,-1.5879999,"tf.Tensor(0.21837321, shape=(), dtype=float32)","tf.Tensor(1.1353058, shape=(), dtype=float32)","tf.Tensor(1.8143047, shape=(), dtype=float32)"
22,-1.4304998,"tf.Tensor(0.15277423, shape=(), dtype=float32)","tf.Tensor(1.0759869, shape=(), dtype=float32)","tf.Tensor(1.7106968, shape=(), dtype=float32)"
23,-3.54265,"tf.Tensor(0.039464336, shape=(), dtype=float32)","tf.Tensor(1.278322, shape=(), dtype=float32)","tf.Tensor(1.7961407, shape=(), dtype=float32)"
24,0.35235,"tf.Tensor(0.40359586, shape=(), dtype=float32)","tf.Tensor(1.0477219, shape=(), dtype=float32)","tf.Tensor(1.7828776, shape=(), dtype=float32)"
25,1.4341999,"tf.Tensor(0.16247924, shape=(), dtype=float32)","tf.Tensor(1.0323799, shape=(), dtype=float32)","tf.Tensor(1.7690609, shape=(), dtype=float32)"
26,-0.20954996,"tf.Tensor(0.10141943, shape=(), dtype=float32)","tf.Tensor(0.9488678, shape=(), dtype=float32)","tf.Tensor(1.7253177, shape=(), dtype=float32)"
27,-0.43865013,"tf.Tensor(0.091913626, shape=(), dtype=float32)","tf.Tensor(1.4625015, shape=(), dtype=float32)","tf.Tensor(1.7223761, shape=(), dtype=float32)"
28,-1.3359001,"tf.Tensor(0.09766445, shape=(), dtype=float32)","tf.Tensor(1.1410614, shape=(), dtype=float32)","tf.Tensor(1.7204998, shape=(), dtype=float32)"
29,0.3185,"tf.Tensor(0.10035539, shape=(), dtype=float32)","tf.Tensor(2.019107, shape=(), dtype=float32)","tf.Tensor(1.6997925, shape=(), dtype=float32)"
30,-0.32274994,"tf.Tensor(0.21605735, shape=(), dtype=float32)","tf.Tensor(1.1697264, shape=(), dtype=float32)","tf.Tensor(1.7280172, shape=(), dtype=float32)"
