Episode,Total_Reward,Actor_Loss,Critic_Loss,Entropy
1,0.164,"tf.Tensor(0.30540755, shape=(), dtype=float32)","tf.Tensor(0.8752368, shape=(), dtype=float32)","tf.Tensor(1.6688615, shape=(), dtype=float32)"
2,-0.119550005,"tf.Tensor(0.00401783, shape=(), dtype=float32)","tf.Tensor(1.0164096, shape=(), dtype=float32)","tf.Tensor(1.6088068, shape=(), dtype=float32)"
3,-1.30445,"tf.Tensor(0.47815686, shape=(), dtype=float32)","tf.Tensor(1.4227209, shape=(), dtype=float32)","tf.Tensor(1.484202, shape=(), dtype=float32)"
4,1.13135,"tf.Tensor(0.87142426, shape=(), dtype=float32)","tf.Tensor(1.5138953, shape=(), dtype=float32)","tf.Tensor(1.5076971, shape=(), dtype=float32)"
5,-2.44555,"tf.Tensor(0.31573513, shape=(), dtype=float32)","tf.Tensor(1.4154022, shape=(), dtype=float32)","tf.Tensor(1.527412, shape=(), dtype=float32)"
6,0.02030003,"tf.Tensor(0.33413807, shape=(), dtype=float32)","tf.Tensor(1.1871791, shape=(), dtype=float32)","tf.Tensor(1.5521476, shape=(), dtype=float32)"
7,-0.6828,"tf.Tensor(0.025981903, shape=(), dtype=float32)","tf.Tensor(1.2853138, shape=(), dtype=float32)","tf.Tensor(1.5732522, shape=(), dtype=float32)"
8,-0.15305,"tf.Tensor(0.6367358, shape=(), dtype=float32)","tf.Tensor(1.2496067, shape=(), dtype=float32)","tf.Tensor(1.5923858, shape=(), dtype=float32)"
9,-0.694,"tf.Tensor(0.4432162, shape=(), dtype=float32)","tf.Tensor(1.1409578, shape=(), dtype=float32)","tf.Tensor(1.6130589, shape=(), dtype=float32)"
10,-0.22799999,"tf.Tensor(0.09236464, shape=(), dtype=float32)","tf.Tensor(1.1224763, shape=(), dtype=float32)","tf.Tensor(1.638727, shape=(), dtype=float32)"
11,0.6235,"tf.Tensor(0.34229127, shape=(), dtype=float32)","tf.Tensor(0.37962544, shape=(), dtype=float32)","tf.Tensor(1.733973, shape=(), dtype=float32)"
12,-2.8812501,"tf.Tensor(0.31687146, shape=(), dtype=float32)","tf.Tensor(1.0544548, shape=(), dtype=float32)","tf.Tensor(1.6722738, shape=(), dtype=float32)"
13,1.23225,"tf.Tensor(0.12687856, shape=(), dtype=float32)","tf.Tensor(1.0527323, shape=(), dtype=float32)","tf.Tensor(1.6869898, shape=(), dtype=float32)"
14,-2.3426,"tf.Tensor(0.5109521, shape=(), dtype=float32)","tf.Tensor(1.0130473, shape=(), dtype=float32)","tf.Tensor(1.7067732, shape=(), dtype=float32)"
15,0.19199991,"tf.Tensor(0.2128174, shape=(), dtype=float32)","tf.Tensor(1.0084985, shape=(), dtype=float32)","tf.Tensor(1.726615, shape=(), dtype=float32)"
16,0.022199988,"tf.Tensor(0.3389311, shape=(), dtype=float32)","tf.Tensor(1.0003852, shape=(), dtype=float32)","tf.Tensor(1.7459347, shape=(), dtype=float32)"
17,-1.79965,"tf.Tensor(0.070144236, shape=(), dtype=float32)","tf.Tensor(1.0562427, shape=(), dtype=float32)","tf.Tensor(1.7671919, shape=(), dtype=float32)"
18,0.0,"tf.Tensor(0.33453274, shape=(), dtype=float32)","tf.Tensor(0.9959012, shape=(), dtype=float32)","tf.Tensor(1.7866948, shape=(), dtype=float32)"
19,-1.8735499,"tf.Tensor(0.43661943, shape=(), dtype=float32)","tf.Tensor(1.014824, shape=(), dtype=float32)","tf.Tensor(1.8056457, shape=(), dtype=float32)"
20,-0.58625,"tf.Tensor(0.28854945, shape=(), dtype=float32)","tf.Tensor(0.9542525, shape=(), dtype=float32)","tf.Tensor(1.8238816, shape=(), dtype=float32)"
21,-1.75655,"tf.Tensor(0.0701291, shape=(), dtype=float32)","tf.Tensor(1.2847276, shape=(), dtype=float32)","tf.Tensor(1.8365037, shape=(), dtype=float32)"
22,0.38729995,"tf.Tensor(0.079568535, shape=(), dtype=float32)","tf.Tensor(1.0629387, shape=(), dtype=float32)","tf.Tensor(1.8386703, shape=(), dtype=float32)"
23,-1.96955,"tf.Tensor(0.06827983, shape=(), dtype=float32)","tf.Tensor(1.0036947, shape=(), dtype=float32)","tf.Tensor(1.861588, shape=(), dtype=float32)"
24,0.4116,"tf.Tensor(0.011034012, shape=(), dtype=float32)","tf.Tensor(0.95492965, shape=(), dtype=float32)","tf.Tensor(1.8667116, shape=(), dtype=float32)"
25,-0.73825,"tf.Tensor(0.3803352, shape=(), dtype=float32)","tf.Tensor(0.9962295, shape=(), dtype=float32)","tf.Tensor(1.8738834, shape=(), dtype=float32)"
26,-3.4848,"tf.Tensor(0.05488485, shape=(), dtype=float32)","tf.Tensor(0.9914168, shape=(), dtype=float32)","tf.Tensor(1.8774588, shape=(), dtype=float32)"
27,-0.8598,"tf.Tensor(0.25439525, shape=(), dtype=float32)","tf.Tensor(1.0025631, shape=(), dtype=float32)","tf.Tensor(1.8787509, shape=(), dtype=float32)"
28,-0.43240002,"tf.Tensor(0.002163738, shape=(), dtype=float32)","tf.Tensor(1.0670017, shape=(), dtype=float32)","tf.Tensor(1.8758048, shape=(), dtype=float32)"
29,0.26740003,"tf.Tensor(0.2987483, shape=(), dtype=float32)","tf.Tensor(0.62111974, shape=(), dtype=float32)","tf.Tensor(1.8510226, shape=(), dtype=float32)"
30,-1.7872,"tf.Tensor(0.02801537, shape=(), dtype=float32)","tf.Tensor(1.0314075, shape=(), dtype=float32)","tf.Tensor(1.876082, shape=(), dtype=float32)"
31,-3.5815,"tf.Tensor(0.21324736, shape=(), dtype=float32)","tf.Tensor(1.0149987, shape=(), dtype=float32)","tf.Tensor(1.8800179, shape=(), dtype=float32)"
32,-1.8934,"tf.Tensor(0.098198354, shape=(), dtype=float32)","tf.Tensor(0.45246756, shape=(), dtype=float32)","tf.Tensor(1.8609972, shape=(), dtype=float32)"
33,2.0,"tf.Tensor(0.025783166, shape=(), dtype=float32)","tf.Tensor(1.0854028, shape=(), dtype=float32)","tf.Tensor(1.8772583, shape=(), dtype=float32)"
34,-0.52199996,"tf.Tensor(0.060180545, shape=(), dtype=float32)","tf.Tensor(1.011515, shape=(), dtype=float32)","tf.Tensor(1.8817283, shape=(), dtype=float32)"
35,-0.8889,"tf.Tensor(0.08647016, shape=(), dtype=float32)","tf.Tensor(1.0073503, shape=(), dtype=float32)","tf.Tensor(1.8811251, shape=(), dtype=float32)"
36,-2.8093,"tf.Tensor(0.1875084, shape=(), dtype=float32)","tf.Tensor(1.0243053, shape=(), dtype=float32)","tf.Tensor(1.881901, shape=(), dtype=float32)"
37,-0.70079994,"tf.Tensor(0.12065688, shape=(), dtype=float32)","tf.Tensor(1.0317615, shape=(), dtype=float32)","tf.Tensor(1.8827085, shape=(), dtype=float32)"
38,0.5859,"tf.Tensor(0.110792935, shape=(), dtype=float32)","tf.Tensor(1.0114181, shape=(), dtype=float32)","tf.Tensor(1.8832986, shape=(), dtype=float32)"
39,-1.6161001,"tf.Tensor(0.1394997, shape=(), dtype=float32)","tf.Tensor(1.0212927, shape=(), dtype=float32)","tf.Tensor(1.8844745, shape=(), dtype=float32)"
40,-1.0865,"tf.Tensor(0.06313546, shape=(), dtype=float32)","tf.Tensor(1.0211949, shape=(), dtype=float32)","tf.Tensor(1.8846527, shape=(), dtype=float32)"
41,-1.12345,"tf.Tensor(0.048476487, shape=(), dtype=float32)","tf.Tensor(1.0160477, shape=(), dtype=float32)","tf.Tensor(1.8865159, shape=(), dtype=float32)"
42,-1.393,"tf.Tensor(0.12513442, shape=(), dtype=float32)","tf.Tensor(1.0094701, shape=(), dtype=float32)","tf.Tensor(1.8871477, shape=(), dtype=float32)"
43,-1.825,"tf.Tensor(0.12457496, shape=(), dtype=float32)","tf.Tensor(1.0087464, shape=(), dtype=float32)","tf.Tensor(1.8885529, shape=(), dtype=float32)"
44,-1.07525,"tf.Tensor(0.16467713, shape=(), dtype=float32)","tf.Tensor(1.0171366, shape=(), dtype=float32)","tf.Tensor(1.8860381, shape=(), dtype=float32)"
45,-0.31634998,"tf.Tensor(0.045978427, shape=(), dtype=float32)","tf.Tensor(0.8014364, shape=(), dtype=float32)","tf.Tensor(1.8810011, shape=(), dtype=float32)"
46,0.0,"tf.Tensor(0.23050255, shape=(), dtype=float32)","tf.Tensor(1.0007787, shape=(), dtype=float32)","tf.Tensor(1.8914251, shape=(), dtype=float32)"
47,-1.0605,"tf.Tensor(0.071525484, shape=(), dtype=float32)","tf.Tensor(0.99543095, shape=(), dtype=float32)","tf.Tensor(1.8918853, shape=(), dtype=float32)"
48,0.0,"tf.Tensor(0.015544772, shape=(), dtype=float32)","tf.Tensor(1.0013268, shape=(), dtype=float32)","tf.Tensor(1.8928742, shape=(), dtype=float32)"
49,0.52825,"tf.Tensor(0.061775208, shape=(), dtype=float32)","tf.Tensor(0.995623, shape=(), dtype=float32)","tf.Tensor(1.8941275, shape=(), dtype=float32)"
50,-1.3122001,"tf.Tensor(0.18892837, shape=(), dtype=float32)","tf.Tensor(0.99042, shape=(), dtype=float32)","tf.Tensor(1.8935612, shape=(), dtype=float32)"
51,1.43505,"tf.Tensor(0.07926185, shape=(), dtype=float32)","tf.Tensor(1.019635, shape=(), dtype=float32)","tf.Tensor(1.8951781, shape=(), dtype=float32)"
52,-0.1752501,"tf.Tensor(0.09674966, shape=(), dtype=float32)","tf.Tensor(1.0124499, shape=(), dtype=float32)","tf.Tensor(1.8984382, shape=(), dtype=float32)"
53,-0.40025002,"tf.Tensor(0.22356951, shape=(), dtype=float32)","tf.Tensor(0.96584713, shape=(), dtype=float32)","tf.Tensor(1.8987533, shape=(), dtype=float32)"
