Episode,Total_Reward,Actor_Loss,Critic_Loss,Entropy
1,-0.6,"tf.Tensor(0.5552733, shape=(), dtype=float32)","tf.Tensor(3.197276, shape=(), dtype=float32)","tf.Tensor(1.486755, shape=(), dtype=float32)"
2,-2.6501,"tf.Tensor(0.36036584, shape=(), dtype=float32)","tf.Tensor(2.36164, shape=(), dtype=float32)","tf.Tensor(1.6201596, shape=(), dtype=float32)"
3,-1.88555,"tf.Tensor(0.64381, shape=(), dtype=float32)","tf.Tensor(5.0262437, shape=(), dtype=float32)","tf.Tensor(1.5396861, shape=(), dtype=float32)"
4,1.1643002,"tf.Tensor(0.75264156, shape=(), dtype=float32)","tf.Tensor(3.009061, shape=(), dtype=float32)","tf.Tensor(1.437246, shape=(), dtype=float32)"
5,1.3167,"tf.Tensor(0.35175073, shape=(), dtype=float32)","tf.Tensor(2.3263657, shape=(), dtype=float32)","tf.Tensor(1.6416104, shape=(), dtype=float32)"
6,0.120000005,"tf.Tensor(0.2226089, shape=(), dtype=float32)","tf.Tensor(3.2157595, shape=(), dtype=float32)","tf.Tensor(1.666335, shape=(), dtype=float32)"
7,-1.0565,"tf.Tensor(0.25055367, shape=(), dtype=float32)","tf.Tensor(3.2511022, shape=(), dtype=float32)","tf.Tensor(1.7198467, shape=(), dtype=float32)"
8,0.33999997,"tf.Tensor(0.13859081, shape=(), dtype=float32)","tf.Tensor(5.5626345, shape=(), dtype=float32)","tf.Tensor(1.6095293, shape=(), dtype=float32)"
9,0.07230002,"tf.Tensor(0.10977815, shape=(), dtype=float32)","tf.Tensor(1.9886222, shape=(), dtype=float32)","tf.Tensor(1.5670962, shape=(), dtype=float32)"
10,0.6052,"tf.Tensor(0.8752742, shape=(), dtype=float32)","tf.Tensor(4.6596394, shape=(), dtype=float32)","tf.Tensor(1.6178647, shape=(), dtype=float32)"
11,0.0059999824,"tf.Tensor(0.091452956, shape=(), dtype=float32)","tf.Tensor(2.0520816, shape=(), dtype=float32)","tf.Tensor(1.7869431, shape=(), dtype=float32)"
12,-0.56200004,"tf.Tensor(0.29267716, shape=(), dtype=float32)","tf.Tensor(3.073455, shape=(), dtype=float32)","tf.Tensor(1.7089181, shape=(), dtype=float32)"
13,-0.97620004,"tf.Tensor(0.046719998, shape=(), dtype=float32)","tf.Tensor(2.9372406, shape=(), dtype=float32)","tf.Tensor(1.6300402, shape=(), dtype=float32)"
14,-1.0396,"tf.Tensor(0.2603769, shape=(), dtype=float32)","tf.Tensor(2.0682278, shape=(), dtype=float32)","tf.Tensor(1.6160554, shape=(), dtype=float32)"
15,1.4275,"tf.Tensor(0.256783, shape=(), dtype=float32)","tf.Tensor(3.5309696, shape=(), dtype=float32)","tf.Tensor(1.629765, shape=(), dtype=float32)"
16,0.033500046,"tf.Tensor(0.19060518, shape=(), dtype=float32)","tf.Tensor(1.3719203, shape=(), dtype=float32)","tf.Tensor(1.7279785, shape=(), dtype=float32)"
17,0.0,"tf.Tensor(0.4390633, shape=(), dtype=float32)","tf.Tensor(1.736128, shape=(), dtype=float32)","tf.Tensor(1.6001904, shape=(), dtype=float32)"
18,-0.283,"tf.Tensor(0.095636725, shape=(), dtype=float32)","tf.Tensor(2.2405849, shape=(), dtype=float32)","tf.Tensor(1.6098914, shape=(), dtype=float32)"
19,0.7414,"tf.Tensor(0.5307117, shape=(), dtype=float32)","tf.Tensor(2.0656214, shape=(), dtype=float32)","tf.Tensor(1.4834802, shape=(), dtype=float32)"
