Step,Reward,Loss,Epsilon
0,-0.8787050000000001,0.004261227790266275,0.01
100,-0.019950000000000002,0.0035392032004892826,0.01
200,0,0.002672793110832572,0.01
300,0,0.00224194279871881,0.01
400,0,0.001835800358094275,0.01
500,-0.049949999999999994,0.001677109976299107,0.01
600,0,0.0016285302117466927,0.01
700,0,0.0016145040281116962,0.01
800,-0.01235,0.0021054623648524284,0.01
900,0,0.002146214246749878,0.01
1000,0,0.0018475388642400503,0.01
1100,0,0.002041457686573267,0.01
1200,-0.032350000000000004,0.0017458918737247586,0.01
1300,0.0,0.0015175009611994028,0.01
1400,0,0.0011354121379554272,0.01
1500,0,0.0009373260545544326,0.01
1600,0,0.0010598540538921952,0.01
1700,0.0,0.0009855496464297175,0.01
1800,0.0,0.001092018443159759,0.01
1900,0,0.0010334865655750036,0.01
2000,0,0.0012844980228692293,0.01
2100,0,0.0012378122191876173,0.01
